CASE_ID,STATE,AGE_BINNED,INCOME_BINNED,STANCE,PEOPLE_TOT_3PLUS,DV7,E2,BB1,BB2,BB3,BTE8,BE10,Co3,BE13,PBC3,PBC5,PBC9,SN4,SN5,attitude,subnorms,pbc,intention
699,4,1.0,4,2,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,-0.5,0.0,-0.5,-0.5,0.0,0.1875,-0.25,-0.3333333333333333,0.5
700,2,2.0,1,3,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,-1.0
701,4,1.0,5,2,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0625,0.5,0.0,0.0
702,2,1.0,3,3,1.0,-1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.5,0.0,0.0,0.5,0.5,0.125,0.5,-0.16666666666666666,-1.0
703,3,1.0,1,2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.5,-1.0,0.0,1.0,1.0,0.875,1.0,-0.5,1.0
704,4,3.0,2,2,0.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,-0.5,0.0,-0.5,-1.0,0.0,0.8125,-0.5,-0.3333333333333333,0.5
705,4,4.0,1,3,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,-0.5,0.0,-0.5,0.0,0.5,0.0,0.25,-0.3333333333333333,-1.0
706,3,1.0,1,4,1.0,-0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-0.5,1.0,0.5,0.5,0.75,-0.16666666666666666,-0.5
707,3,1.0,4,5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1.0,-0.5,-0.5,-0.5,0.0,0.5,-0.25,-0.6666666666666666,0.0
708,3,4.0,3,3,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.1875,0.0,-0.3333333333333333,0.0
709,3,2.0,1,3,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-1.0,-0.5,0.0,0.0,0.0625,0.0,-0.6666666666666666,-0.5
710,4,3.0,3,2,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,0.0,0.5,0.0,0.125,0.25,-0.3333333333333333,-1.0
711,3,4.0,1,6,0.0,0.5,-0.5,-1.0,0.0,0.0,0.5,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.5,-0.125,0.75,0.3333333333333333,0.5
712,1,3.0,2,4,0.0,-1.0,0.0,0.0,-0.5,-0.5,0.0,-1.0,-0.5,-0.5,-1.0,-1.0,-0.5,1.0,0.0,-0.375,0.5,-0.8333333333333334,-1.0
713,4,2.0,5,4,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,-1.0
714,2,1.0,4,3,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,-0.5,0.0,0.0,1.0,0.5,0.8125,0.75,-0.16666666666666666,-1.0
715,2,1.0,2,2,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.5,0.0,0.125,0.25,-0.6666666666666666,-1.0
716,1,4.0,3,3,1.0,-1.0,1.0,0.5,-0.5,0.5,0.0,1.0,0.0,0.5,-0.5,0.0,0.0,1.0,1.0,0.375,1.0,-0.16666666666666666,-1.0
717,1,2.0,4,4,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,-0.5
718,4,2.0,4,3,,-0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.125,0.25,0.0,-0.5
719,4,3.0,3,5,1.0,-0.5,0.5,1.0,0.0,1.0,0.5,0.5,1.0,0.5,-0.5,-1.0,-0.5,1.0,0.5,0.625,0.75,-0.6666666666666666,-0.5
720,4,2.0,2,4,0.0,-0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.5,-0.5,0.5,0.5,0.5,0.0625,0.5,-0.16666666666666666,-0.5
721,1,4.0,4,3,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.3125,0.5,0.3333333333333333,0.5
722,4,1.0,3,4,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,-0.5,0.0,0.5,0.125,0.25,-0.3333333333333333,0.0
723,3,4.0,3,5,0.0,-1.0,0.0,-0.5,0.0,0.0,0.0,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.1875,0.0,-0.5,-1.0
724,2,1.0,5,2,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.5,0.0,-0.5,0.0,1.0,0.0625,0.5,-0.3333333333333333,-0.5
725,2,4.0,2,0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-0.5,-1.0,0.0,0.0,-0.5,-0.8333333333333334,-1.0
726,4,2.0,3,3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-1.0,-1.0,0.0,0.5,0.0,0.125,0.25,-0.6666666666666666,0.0
727,4,3.0,4,3,0.0,-0.5,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,-0.5,0.5,0.0,0.5,0.5,0.4375,0.5,0.0,-0.5
728,1,4.0,2,2,0.0,-1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.0,0.0,-1.0
729,2,2.0,3,3,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,-1.0,-1.0,-0.5,0.0,0.0,0.4375,0.0,-0.8333333333333334,0.0
730,1,1.0,3,3,,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,-1.0,1.0,-1.0,1.0,0.5,0.8125,0.75,-0.3333333333333333,1.0
731,2,4.0,5,3,0.0,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.5,0.75,0.16666666666666666,-0.5
732,2,4.0,2,1,0.0,-1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.625,0.75,0.0,-1.0
733,3,1.0,3,2,0.0,-0.5,0.5,0.5,-0.5,0.5,1.0,1.0,0.5,1.0,-0.5,-0.5,0.0,0.5,0.5,0.5625,0.5,-0.3333333333333333,-0.5
734,2,4.0,1,3,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-1.0,-1.0,0.0,0.0,0.5,0.3125,0.25,-0.6666666666666666,0.0
735,1,3.0,2,3,0.0,-1.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.5,0.25,0.25,-0.3333333333333333,-1.0
736,3,4.0,2,3,0.0,-0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.0,0.0,-1.0,0.0,-0.5,0.5,0.0,0.5,0.25,-0.5,-0.5
737,4,3.0,3,4,1.0,0.0,-0.5,0.5,-1.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.5,0.5,1.0,-0.125,0.75,0.0,0.0
738,1,2.0,3,4,1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,-0.3125,0.5,0.16666666666666666,-1.0
739,1,1.0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,-0.5,0.5,0.0,0.1875,0.25,-0.16666666666666666,0.0
740,3,1.0,2,3,0.0,0.0,0.0,0.0,-0.5,0.0,0.5,0.0,0.0,0.0,-1.0,-0.5,0.5,1.0,0.5,0.0,0.75,-0.3333333333333333,0.0
