,timestep,first_agent,agent1_initial_attitude,agent1_final_attitude,second_agent,agent2_initial_attitude,agent2_final_attitude
1599,0,57935,0.0,0.0,57935,0.0,0.0
1600,0,8158,0.25,0.25,8184,0.25,0.25
1601,0,8407,0.3125,0.3125,8185,0.4375,0.42159090909090907
1602,0,8185,0.42159090909090907,0.42159090909090907,8339,0.3125,0.3343181818181818
1603,0,8261,0.125,0.125,8261,0.125,0.125
1604,0,8158,0.25,0.25,8482,0.3125,0.3020833333333333
1605,0,12190,0.0625,0.0625,12190,0.0625,0.0625
1606,0,42440,0.125,0.125,42346,0.1875,0.1767857142857143
1607,0,20569,-0.1875,-0.1875,20569,-0.1875,-0.1875
1608,0,12677,0.0625,0.0625,12677,0.0625,0.0625
1609,0,54926,0.1875,0.1875,54926,0.1875,0.1875
1610,0,10896,0.1875,0.1875,10964,0.5,0.4855769230769231
1611,0,10864,-0.0625,-0.0625,10864,-0.0625,-0.0625
1612,0,77499,0.6875,0.6875,77745,0.0,0.1375
1613,0,77408,0.0625,0.0625,77499,0.6875,0.6875
1614,0,20361,0.25,0.25,20361,0.25,0.25
1615,0,27576,-0.125,-0.125,27576,-0.125,-0.125
1616,0,38448,0.875,0.875,38448,0.875,0.875
1617,0,38997,0.4375,0.4375,39194,0.5,0.49027777777777776
1618,0,38978,1.0,1.0,39196,0.0,0.0
1619,0,38502,-0.875,-0.875,39068,-1.0,-1.0
1620,0,38567,0.125,0.125,39031,0.625,0.625
1621,0,39147,0.375,0.375,39147,0.375,0.375
1622,0,38317,0.5,0.5,39089,0.0,0.1
1623,0,39147,0.375,0.375,38842,-0.5,-0.5
1624,0,2327,0.125,0.125,2327,0.125,0.125
1625,0,61587,0.0,0.0,61587,0.0,0.0
1626,0,75133,0.4375,0.4375,75133,0.4375,0.4375
1627,0,75133,0.4375,0.4375,75141,0.75,0.75
1628,0,79163,0.0,0.0,79163,0.0,0.0
1629,0,57211,1.0,1.0,57211,1.0,1.0
1630,0,42239,0.5625,0.5625,42257,-0.0625,0.026785714285714274
1631,0,42257,0.026785714285714274,0.026785714285714274,42402,-0.125,-0.0996502209131075
1632,0,25635,0.25,0.25,25633,0.5,0.48333333333333334
1633,0,11327,0.125,0.125,11327,0.125,0.125
1634,0,28555,0.75,0.75,28555,0.75,0.75
1635,0,27936,0.3125,0.3125,27936,0.3125,0.3125
1636,0,50844,0.25,0.25,50844,0.25,0.25
1637,0,26063,0.1875,0.1875,26133,0.1875,0.1875
1638,0,26063,0.1875,0.1875,26063,0.1875,0.1875
1639,0,64573,0.625,0.625,64573,0.625,0.625
1640,0,64612,0.5,0.5,64612,0.5,0.5
1641,0,64612,0.5,0.5,64856,0.5,0.5
1642,0,26411,0.125,0.125,26411,0.125,0.125
1643,0,26206,0.375,0.375,26206,0.375,0.375
1644,0,57358,0.25,0.25,57358,0.25,0.25
1645,0,22984,-1.0,-1.0,22872,0.5625,0.5625
1646,0,22984,-1.0,-1.0,22984,-1.0,-1.0
1647,0,34748,0.6875,0.6875,34576,0.5625,0.5875
1648,0,34824,-0.125,-0.125,34748,0.6875,0.6875
1649,0,34760,0.6875,0.6875,34599,0.125,0.2375
1650,0,34760,0.6875,0.6875,34824,-0.125,-0.0925
1651,0,53106,-0.25,-0.25,53106,-0.25,-0.25
1652,0,20503,0.9375,0.9375,20456,0.5,0.5875
1653,0,66743,0.3125,0.3125,66885,0.375,0.36477272727272725
1654,0,66743,0.3125,0.3125,66743,0.3125,0.3125
1655,0,71789,0.0,0.0,71789,0.0,0.0
1656,0,21629,0.875,0.875,21629,0.875,0.875
1657,0,50609,0.5625,0.5625,50681,0.3125,0.3625
1658,0,50681,0.3625,0.3625,50609,0.5625,0.5475980392156863
1659,0,22235,0.4375,0.4375,22235,0.4375,0.4375
1660,0,22126,0.6875,0.6875,22126,0.6875,0.6875
1661,0,45143,0.25,0.25,45143,0.25,0.25
1662,0,21682,0.0,0.0,21790,0.0,0.0
1663,0,21682,0.0,0.0,21682,0.0,0.0
1664,0,6447,0.3125,0.3125,6447,0.3125,0.3125
1665,0,6210,-0.9375,-0.9375,6383,0.0,-0.1875
1666,0,6162,0.375,0.375,6413,0.625,0.615
1667,0,6447,0.3125,0.3125,6162,0.375,0.36477272727272725
1668,0,6331,0.4375,0.4375,6310,0.3125,0.3375
1669,0,48170,0.625,0.625,48598,-0.0625,0.029166666666666688
1670,0,48407,0.0,0.0,48568,-0.125,-0.10625
1671,0,48170,0.625,0.625,48407,0.0,0.125
1672,0,5181,-0.0625,-0.0625,5405,0.6875,0.6875
1673,0,5401,0.5,0.5,5401,0.5,0.5
1674,0,5322,0.25,0.25,5365,-0.4375,-0.4375
1675,0,5322,0.25,0.25,5358,-0.3125,-0.29375
1676,0,26689,0.375,0.375,26895,1.0,1.0
1677,0,26489,0.5625,0.5625,26850,0.1875,0.2625
