,timestep,case_id,attitude,subnorms,pbc,adoption_status,geoid,actualpayback,intention,tolerated_payback,year
0,1,49601,0.25,-0.5,-0.1666666666666666,0,360010136013003,18.0,0.3202916666666667,10.0,2016.0
1,1,43073,0.0625,0.0,-0.3333333333333333,0,360010146082000,20.0,0.26241458333333334,7.5,2016.0
2,1,63832,0.8125,0.25,-0.3333333333333333,0,360010136022016,14.0,0.6432145833333333,7.5,2016.0
3,1,78663,0.6875,0.0,0.0,0,360010146144010,20.0,0.60419375,15.0,2016.0
4,1,59458,0.5,0.5,-0.1666666666666666,0,360010135081000,20.0,0.5463166666666667,10.0,2016.0
5,1,75571,0.0,-0.25,0.0,0,360010139022005,18.0,0.25287499999999996,15.0,2016.0
6,1,60473,0.375,-0.5,-0.5,0,360010139012000,14.0,0.3322875,7.5,2016.0
7,1,40631,0.375,0.25,0.0,0,360010146121001,16.0,0.48381250000000003,15.0,2016.0
8,1,28861,0.1875,0.0,-0.1666666666666666,0,360010026004001,18.0,0.34486041666666667,10.0,2016.0
9,1,13324,0.875,0.0,0.0,0,360010139023034,20.0,0.6926375,15.0,2016.0
10,1,28854,0.3125,0.0,-0.1666666666666666,0,360010026004001,20.0,0.4038229166666667,10.0,2016.0
11,1,41723,0.625,0.75,-0.1666666666666666,0,360010148012035,20.0,0.6323041666666667,10.0,2016.0
12,1,46607,0.375,0.5,0.1666666666666666,0,360010135032000,20.0,0.5343208333333334,15.0,2016.0
13,1,40559,0.75,0.5,-0.6666666666666666,0,360010146121000,20.0,0.5937916666666667,6.0,2016.0
14,1,14667,0.75,1.0,0.0,0,360010142033009,20.0,0.741775,15.0,2016.0
15,1,43259,0.25,1.0,-0.1666666666666666,0,360010146082020,20.0,0.48244166666666666,10.0,2016.0
16,1,60530,0.375,0.75,0.1666666666666666,0,360010139012002,20.0,0.5613458333333333,15.0,2016.0
17,1,31243,0.1875,1.0,0.0,0,360010018024001,20.0,0.47644374999999994,15.0,2016.0
18,1,40717,0.5625,0.75,0.0,0,360010146121000,20.0,0.6263062500000001,15.0,2016.0
