,timestep,case_id,attitude,subnorms,pbc,adoption_status,geoid,actualpayback,intention,tolerated_payback,year
1254,1,55541,0.48928571428571427,0.5,1,0,360010142014006,0.0,0.7056460714285714,15.0,2016.0
1255,1,47520,0.485,0.0,1,0,360010001001004,0.0,0.6495744999999999,6.0,2016.0
1256,1,42707,-0.9375,0.25,1,0,360010146082013,0.0,0.0056062499999999585,7.5,2016.0
1257,1,16355,0.4375,0.0,1,0,360010145023042,0.0,0.6271687499999999,6.0,2016.0
1258,1,79681,0.3125,0.0,1,0,360010137054018,0.0,0.56820625,10.0,2016.0
1259,1,55553,0.125,-0.25,1,0,360010142014006,0.0,0.45273749999999996,15.0,2016.0
1260,1,69468,0.0625,0.25,1,0,360010018012001,0.0,0.47730625,7.5,2016.0
1261,1,29656,0.0625,0.5,1,0,360010146093006,0.0,0.50433125,7.5,2016.0
1262,1,47471,0.4375,0.75,1,0,360010001001004,0.0,0.70824375,7.5,2016.0
1263,1,64945,-0.4375,1.0,1,0,360010136011036,0.0,0.32253124999999994,15.0,2016.0
1264,1,47460,-0.125,0.25,1,0,360010001001004,0.0,0.38886249999999994,7.5,2016.0
1265,1,70884,0.875,0.25,1,1,360010019023008,0.0,0.8605624999999999,7.5,2016.0
1266,1,39875,0.48928571428571427,0.25,1,0,360010137072023,0.0,0.6786210714285713,10.0,2016.0
1267,1,47479,0.6875,1.0,1,1,360010001001004,0.0,0.8531937499999999,10.0,2016.0
1268,1,62888,0.125,1.0,1,0,360010018021006,0.0,0.5878625,7.5,2016.0
1269,1,72322,0.2875,0.0,1,0,360010144013018,0.0,0.5564137499999999,10.0,2016.0
1270,1,66459,-0.4375,0.25,1,0,360010146073021,0.0,0.24145624999999996,15.0,2016.0
1271,1,29649,0.3125,0.5,1,0,360010146093006,0.0,0.6222562500000001,7.5,2016.0
1272,1,62784,0.0625,0.5,1,0,360010018021014,0.0,0.50433125,15.0,2016.0
1273,1,42688,-0.0625,0.0,1,0,360010146082013,0.0,0.39131874999999994,7.5,2016.0
1274,1,47410,0.0625,0.5,1,0,360010001001054,0.0,0.50433125,7.5,2016.0
1275,1,26624,0.5,0.5,1,0,360010144012010,0.0,0.7107,7.5,2016.0
1276,1,64941,0.75,0.75,1,1,360010136011036,0.0,0.85565,15.0,2016.0
