,nodes
640,22752
641,76586
642,49285
643,23840
644,40717
645,38796
646,61250
647,76572
648,79506
649,33441
650,22571
651,44651
652,46696
653,79345
654,27808
655,70187
656,59322
657,9839
658,35088
659,53535
660,36647
661,13746
662,670
663,46908
664,65667
665,588
666,25346
667,64450
668,23834
669,41940
670,73857
671,61928
672,48506
673,50436
674,20138
675,46464
676,73893
677,57724
678,57466
679,13435
680,3203
681,69625
682,15332
683,28955
684,36530
685,6383
686,62105
687,21682
688,61919
689,28701
690,73653
691,55016
692,43382
693,64489
694,9286
695,3283
696,38294
697,68104
698,53834
699,60726
700,32926
701,39765
702,54166
703,25604
704,441
705,16242
706,63605
707,21164
708,73706
709,32547
710,25766
711,6078
712,7445
713,58471
714,59502
715,8792
716,4866
717,11122
718,24275
719,66146
720,21541
721,56569
722,59215
723,59662
724,55264
725,66604
726,75148
727,54748
728,56892
729,47159
730,24223
731,75782
732,55170
733,33213
734,29103
735,31920
736,78854
737,62980
738,60101
739,30374
740,168
741,25229
742,44010
743,29212
744,38184
745,2932
746,49380
747,46253
748,35729
749,37186
750,54417
751,58839
752,53168
753,23911
754,5136
755,13492
756,25798
757,24593
758,42290
759,15739
760,16897
761,56609
762,1834
763,15384
764,43963
765,60134
766,6761
767,79097
768,39823
769,65493
770,69068
771,59959
772,13519
773,59240
774,26624
775,3738
776,19531
777,67065
778,37017
779,77408
780,51923
781,5443
782,30314
783,28478
784,63682
785,22442
786,11658
787,75780
788,34039
789,7543
790,35168
791,26239
792,10002
793,69280
794,55158
795,14109
796,47715
797,23361
798,566
799,54747
800,1685
801,17888
802,29996
803,42800
804,18754
805,27590
806,22423
807,68055
808,71310
809,36537
810,31132
811,380
812,55076
813,58798
814,25633
815,47710
816,43465
817,13224
818,7565
819,78795
820,57984
821,26630
822,55133
823,5851
824,78060
825,8732
826,22597
827,61079
828,14219
829,62368
830,58886
831,56330
832,14817
833,22985
834,53461
835,75810
836,35516
837,30974
838,77140
839,66560
840,41801
841,63105
842,17681
843,25066
844,65922
845,31075
846,39747
847,22848
848,29213
849,78590
850,28720
851,39004
852,78282
853,3843
854,12833
855,13649
856,66250
857,51038
858,2265
859,13670
860,63844
861,66048
862,46343
863,16649
864,26810
865,60396
866,9888
867,43962
868,26918
869,19444
870,17078
871,58496
872,14449
873,51897
874,75740
875,44369
876,69809
877,21367
878,80279
879,38035
880,11308
881,59974
882,11459
883,39898
884,23886
885,46252
886,19064
887,73818
888,11148
889,14178
890,68371
891,49563
892,59337
893,59094
894,68469
895,11945
896,55182
897,58822
898,5181
899,53207
900,48817
901,73135
902,21060
903,75606
904,60534
905,5093
906,15428
907,46024
908,59830
909,38984
910,4696
911,79943
912,37537
913,76498
914,34541
915,39232
916,14216
917,18428
918,12394
919,15335
920,23780
921,37043
922,86
923,27936
924,7816
925,17630
926,60138
927,39068
928,48979
929,8062
930,32792
931,29701
932,78228
933,4228
934,54008
935,57771
936,79561
937,38516
938,67210
939,56664
940,62126
941,23933
942,42466
943,79302
944,70283
945,56020
946,11628
947,18652
948,57198
949,9413
950,73113
951,53256
952,74108
953,17347
954,35105
955,64431
956,13768
957,79159
958,25177
959,61293
960,71863
961,7511
962,32855
963,1276
964,59500
965,59832
966,7239
967,17088
968,55318
969,66810
970,66459
971,9336
972,38460
973,10864
974,12813
975,8356
976,31741
977,71026
978,17622
979,233
980,68338
981,7259
982,15881
983,38210
984,12838
985,42688
986,73982
987,57385
988,70930
989,16578
990,44596
991,71056
992,8660
993,5392
994,23648
995,9712
996,42928
997,9894
998,22591
999,25989
1000,74056
1001,60446
1002,26
1003,39225
1004,28549
1005,15064
1006,11862
1007,19036
1008,45743
1009,55030
1010,61597
1011,26424
1012,68108
1013,22403
1014,15547
1015,2460
1016,56560
1017,56016
1018,49809
1019,52182
1020,12820
1021,1670
1022,46564
1023,15633
1024,4288
1025,33868
1026,15008
1027,22164
1028,62121
1029,48841
1030,50148
1031,45826
1032,30083
1033,67289
1034,37226
1035,35422
1036,72489
1037,50174
1038,69750
1039,72322
1040,79727
1041,58990
1042,1820
1043,57176
1044,78500
1045,27645
1046,30320
1047,25106
1048,7625
1049,20456
1050,38448
1051,6938
1052,15449
1053,52274
1054,22791
1055,63959
1056,29094
1057,11360
1058,2895
1059,12059
1060,68703
1061,52627
1062,38483
1063,692
1064,71562
1065,29633
1066,47169
1067,33401
1068,23013
1069,69122
1070,17309
1071,18806
1072,47479
1073,11155
1074,29951
1075,64818
1076,52451
1077,34824
1078,54584
1079,26689
1080,69359
1081,8412
1082,6310
1083,54010
1084,79525
1085,53353
1086,9502
1087,45107
1088,53449
1089,79914
1090,34926
1091,27148
1092,50397
1093,57329
1094,40252
1095,22351
1096,13532
1097,41864
1098,39506
1099,34303
1100,42430
1101,234
1102,44258
1103,67592
1104,21142
1105,34428
1106,17603
1107,42402
1108,73294
1109,46106
1110,59668
1111,67977
1112,15017
1113,61253
1114,69872
1115,72825
1116,36388
1117,19130
1118,60358
1119,12316
1120,57265
1121,48407
1122,13608
1123,62374
1124,68627
1125,39781
1126,62988
1127,3869
1128,60457
1129,73637
1130,41802
1131,28583
1132,58051
1133,67000
1134,3008
1135,28473
1136,40001
1137,8041
1138,6677
1139,36955
1140,14271
1141,45581
1142,39793
1143,51264
1144,43821
1145,64164
1146,62293
1147,76911
1148,38482
1149,65409
1150,45999
1151,20424
1152,54153
1153,17022
1154,55204
1155,44005
1156,6851
1157,32269
1158,70884
1159,9979
1160,41749
1161,69312
1162,73628
1163,27233
1164,36812
1165,72268
1166,36236
1167,9472
1168,5681
1169,52705
1170,66125
1171,30095
1172,55778
1173,19437
1174,11961
1175,47293
1176,24572
1177,1504
1178,7278
1179,53995
1180,38103
1181,13883
1182,18874
1183,42443
1184,65214
1185,61844
1186,40688
1187,30936
1188,42026
1189,68085
1190,21527
1191,47767
1192,67672
1193,50197
1194,25576
1195,72717
1196,39283
1197,10576
1198,29436
1199,73576
1200,3410
1201,38334
1202,68272
1203,70575
1204,67172
1205,15333
1206,8185
1207,33014
1208,39234
1209,58992
1210,52587
1211,62884
1212,37681
1213,76666
1214,78465
1215,42440
1216,67659
1217,57003
1218,22074
1219,29261
1220,22759
1221,3011
1222,37196
1223,67904
1224,6162
1225,71037
1226,32139
1227,70215
1228,74547
1229,11550
1230,13687
1231,23990
1232,9065
1233,70549
1234,36732
1235,14744
1236,17563
1237,14964
1238,64743
1239,6630
1240,62891
1241,33368
1242,26411
1243,57269
1244,56653
1245,44454
1246,77745
1247,59348
1248,37444
1249,67878
1250,22979
1251,67773
1252,5866
1253,781
1254,42547
1255,35172
1256,10454
1257,2788
1258,55596
1259,79680
1260,52409
1261,10359
1262,5358
1263,79259
1264,25491
1265,77828
1266,6640
1267,26214
1268,33954
1269,64376
1270,8759
1271,9977
1272,75141
1273,65438
1274,30692
1275,1881
1276,47410
1277,53295
1278,46201
1279,11307
1280,33865
1281,68634
1282,1211
1283,19304
1284,56576
1285,47502
1286,47846
1287,50707
1288,19812
1289,34958
1290,27810
1291,78278
1292,73794
1293,32275
1294,51759
1295,54169
1296,27409
1297,74992
1298,23475
1299,59335
1300,69027
1301,43679
1302,15628
1303,2109
1304,44797
1305,68831
1306,75747
1307,7210
1308,20273
1309,73057
1310,15778
1311,15767
1312,22494
1313,54805
1314,65094
1315,47970
1316,9398
1317,70169
1318,8044
1319,16998
1320,37939
1321,60223
1322,78968
1323,68771
1324,48896
1325,71751
1326,70287
1327,68369
1328,52126
1329,76288
1330,29295
1331,79985
1332,45207
1333,16074
1334,20277
1335,38810
1336,34207
1337,63215
1338,52691
1339,21499
1340,20257
1341,32539
1342,43373
1343,28368
1344,20168
1345,7079
1346,76574
1347,75317
1348,36439
1349,50681
1350,23307
1351,29440
1352,1162
1353,49736
1354,16583
1355,50583
1356,18316
1357,25728
1358,67856
1359,34760
1360,22559
1361,3259
1362,72648
1363,48908
1364,68401
1365,67406
1366,8691
1367,33977
1368,59685
1369,14042
1370,55626
1371,27036
1372,27178
1373,10186
1374,68870
1375,27809
1376,29727
1377,39301
1378,31291
1379,63458
1380,64941
1381,61754
1382,49430
1383,29887
1384,10896
1385,6859
