,nodes
2494,77471
2495,41637
2496,36500
2497,24657
2498,55045
2499,24158
2500,43913
2501,54344
2502,26112
2503,55868
2504,40300
2505,23137
2506,3245
2507,50916
2508,48773
2509,56234
2510,57503
2511,23793
2512,4975
2513,11338
2514,71288
2515,46599
2516,5519
2517,72501
2518,62076
2519,43361
2520,74459
2521,27376
2522,42192
2523,48715
2524,8804
2525,36683
2526,66465
2527,34576
2528,77236
2529,71959
2530,57479
2531,17123
2532,44057
2533,37597
2534,78333
2535,35305
2536,7162
2537,16719
2538,65406
2539,36170
2540,9545
2541,33426
2542,22869
2543,32978
2544,23149
2545,29175
2546,32033
2547,13878
2548,60161
2549,16942
2550,16124
2551,72841
2552,63278
2553,49095
2554,65186
2555,67388
2556,70546
2557,39495
2558,12871
2559,61337
2560,976
2561,473
2562,48007
2563,48182
2564,12990
2565,43650
2566,23295
2567,28449
2568,61853
2569,12415
2570,45630
2571,66634
2572,2425
2573,14667
2574,53545
2575,72976
2576,70362
2577,62052
2578,30054
2579,74429
2580,28802
2581,72822
2582,65621
2583,21310
2584,50818
2585,69906
2586,26281
2587,24559
2588,3030
2589,79139
2590,50474
2591,24268
2592,27894
2593,32083
2594,62597
2595,64945
2596,68628
2597,56528
2598,16476
2599,56510
2600,65105
2601,72872
2602,42079
2603,68073
2604,10324
2605,5286
2606,61128
2607,26609
2608,29230
2609,3084
2610,21995
2611,10308
2612,62902
2613,41536
2614,70344
2615,37377
2616,41019
2617,25461
2618,44033
2619,56808
2620,61477
2621,56223
2622,57392
2623,16937
2624,25508
2625,57547
2626,51454
2627,37050
2628,49601
2629,49988
2630,40214
2631,67016
2632,24863
2633,50077
2634,60653
2635,3793
2636,85
2637,49993
2638,65030
2639,3513
2640,23476
2641,57028
2642,24759
2643,66812
2644,72552
2645,9149
2646,61595
2647,53813
2648,13068
2649,21452
2650,12064
2651,52542
2652,12654
2653,17962
2654,72399
2655,18210
2656,30425
2657,66620
2658,30368
2659,7849
2660,68428
2661,520
2662,31540
2663,77483
2664,27717
2665,65065
2666,33920
2667,78399
2668,22369
2669,36837
2670,72059
2671,1480
2672,1767
2673,16933
2674,46808
2675,30763
2676,53458
2677,23169
2678,54943
2679,46563
2680,10894
2681,65474
2682,2894
2683,18363
2684,18885
2685,44663
2686,56979
2687,52715
2688,47069
2689,20337
2690,45101
2691,70345
2692,11654
2693,13703
2694,72561
2695,16830
2696,1218
2697,3599
2698,50770
2699,23614
2700,13055
2701,74912
2702,55409
2703,15794
2704,56804
2705,71064
2706,4423
2707,10921
2708,28261
2709,64582
2710,62538
2711,16464
2712,11470
2713,1272
2714,52094
2715,1283
2716,71298
2717,47544
2718,7010
2719,3100
2720,17337
2721,9780
2722,48792
2723,76687
2724,62464
2725,46592
2726,8423
2727,38324
2728,61596
2729,8076
2730,63259
2731,49168
2732,16844
2733,61241
2734,24251
2735,72794
2736,1046
2737,78986
2738,13175
2739,38150
2740,33293
2741,66957
2742,2302
2743,7017
2744,15507
2745,53261
2746,65071
2747,77314
2748,51952
2749,43784
2750,49522
2751,41740
2752,20191
2753,21358
2754,13780
2755,40814
2756,49843
2757,53740
2758,21433
2759,16749
2760,68665
2761,20606
2762,76263
2763,36524
2764,16446
2765,62767
2766,39090
2767,10301
2768,9498
2769,51782
2770,38978
2771,10781
2772,27793
2773,65164
2774,18976
2775,10068
2776,47800
2777,19307
2778,1349
2779,41196
2780,30972
2781,47460
2782,7934
2783,66995
2784,68048
2785,27755
2786,20048
2787,42504
2788,63150
2789,26858
2790,78472
2791,69246
2792,12709
2793,41498
2794,50924
2795,28148
2796,7795
2797,32956
2798,23343
2799,2218
2800,19580
2801,76052
2802,17837
2803,48826
2804,3239
2805,4147
2806,32156
2807,63708
2808,67039
2809,4516
2810,43542
2811,73114
2812,29786
2813,79495
2814,25330
2815,69101
2816,29933
2817,57211
2818,36181
2819,16156
2820,69612
2821,9314
2822,15202
2823,62299
2824,3113
2825,65726
2826,43178
2827,62573
2828,51010
2829,36044
2830,77924
2831,15039
2832,59352
2833,40030
2834,63064
2835,28377
2836,64070
2837,31764
2838,45866
2839,24386
2840,42518
2841,62920
2842,57780
2843,13656
2844,5036
2845,54264
