,timestep,first_agent,agent1_initial_attitude,agent1_final_attitude,second_agent,agent2_initial_attitude,agent2_final_attitude
20552,8,7402,0.40301344095809805,0.40301344095809805,7357,0.3026540983606557,0.32272596688014416
20553,8,7402,0.40301344095809805,0.40301344095809805,7402,0.40301344095809805,0.40301344095809805
20554,8,31802,0.25,0.25,31802,0.25,0.25
20555,8,58154,0.2564657097193989,0.2564657097193989,57714,0.21545230522794195,0.22365498612623336
20556,8,57714,0.22365498612623336,0.22365498612623336,58154,0.2564657097193989,0.25045823776273046
20557,8,7816,0.375,0.375,7816,0.375,0.375
20558,8,9987,0.43856,0.43856,9987,0.43856,0.43856
20559,8,14651,0.5625,0.5625,14867,0.2025,0.2745
20560,8,14651,0.5625,0.5625,14651,0.5625,0.5625
20561,8,57350,0.375,0.375,57350,0.375,0.375
20562,8,54943,0.5018305988645807,0.5018305988645807,54800,0.37624403854896477,0.40136135061208794
20563,8,69465,0.029030946291560104,0.029030946291560104,69465,0.029030946291560104,0.029030946291560104
20564,8,69465,0.029030946291560104,0.029030946291560104,69428,0.05515473145780051,0.05021111712371689
20565,8,7802,0.5,0.5,7802,0.5,0.5
20566,8,7750,0.5,0.5,7750,0.5,0.5
20567,8,45085,0.75,0.75,45050,0.5625,0.5625
20568,8,79594,0.21110185696267858,0.21110185696267858,79594,0.21110185696267858,0.21110185696267858
20569,8,68854,0.625,0.625,68854,0.625,0.625
20570,8,69027,0.44580000000000003,0.44580000000000003,69027,0.44580000000000003,0.44580000000000003
20571,8,34887,0.0625,0.0625,34887,0.0625,0.0625
20572,8,3063,0.8125,0.8125,3063,0.8125,0.8125
20573,8,3454,0.1875,0.1875,3454,0.1875,0.1875
20574,8,66532,0.3125,0.3125,66532,0.3125,0.3125
20575,8,19230,0.25,0.25,19230,0.25,0.25
20576,8,65208,0.375,0.375,65208,0.375,0.375
20577,8,1800,0.125,0.125,1800,0.125,0.125
20578,8,2894,0.1875,0.1875,2894,0.1875,0.1875
20579,8,52034,0.4918181818181818,0.4918181818181818,52034,0.4918181818181818,0.4918181818181818
20580,8,14784,0.75,0.75,14784,0.75,0.75
20581,8,22369,0.9375,0.9375,22369,0.9375,0.9375
20582,8,1820,1.0,1.0,1820,1.0,1.0
20583,8,19437,0.125,0.125,19437,0.125,0.125
20584,8,20555,0.8125,0.8125,20425,0.4925,0.5565
20585,8,41904,0.2371148641975308,0.2371148641975308,41864,0.44486393310565214,0.42594383045965895
20586,8,32383,-0.125,-0.125,32383,-0.125,-0.125
20587,8,11623,-0.1875,-0.1875,11623,-0.1875,-0.1875
20588,8,76766,0.5625,0.5625,76766,0.5625,0.5625
20589,8,77501,0.30617511733089336,0.30617511733089336,77828,0.11663525392798027,0.1513734411562503
20590,8,70467,0.46481636013848954,0.46481636013848954,70324,0.4172172801153786,0.4267370961200008
20591,8,70467,0.46481636013848954,0.46481636013848954,70438,0.4513479814276042,0.45404165716978123
20592,8,70253,0.625,0.625,70344,-0.625,-0.625
20593,8,8438,-0.25830000000000003,-0.25830000000000003,8438,-0.25830000000000003,-0.25830000000000003
20594,8,8194,-0.4189783982742349,-0.4189783982742349,8194,-0.4189783982742349,-0.4189783982742349
20595,8,41860,0.875,0.875,41860,0.875,0.875
20596,8,26822,0.4375,0.4375,26822,0.4375,0.4375
20597,8,61578,0.48125,0.48125,61578,0.48125,0.48125
20598,8,42461,0.3125,0.3125,42461,0.3125,0.3125
20599,8,63594,-0.5625,-0.5625,63594,-0.5625,-0.5625
20600,8,73832,0.2123193192222867,0.2123193192222867,73907,0.26126795022063765,0.25269494472268483
20601,8,73907,0.25269494472268483,0.25269494472268483,73832,0.2123193192222867,0.22039444432236632
20602,8,62597,0.5,0.5,62597,0.5,0.5
20603,8,72043,0.1875,0.1875,72043,0.1875,0.1875
20604,8,20273,0.125,0.125,20273,0.125,0.125
20605,8,57910,0.6875,0.6875,57910,0.6875,0.6875
20606,8,57935,0.55,0.55,57935,0.55,0.55
20607,8,8339,0.31050053120235915,0.31050053120235915,8185,0.34789812445386176,0.34136860857722634
20608,8,8184,0.2693041412790419,0.2693041412790419,8339,0.31050053120235915,0.3029731505205734
20609,8,8482,0.2889981822011933,0.2889981822011933,8482,0.2889981822011933,0.2889981822011933
20610,8,8339,0.3029731505205734,0.3029731505205734,8434,-0.08101170868365876,-0.04292171251889332
20611,8,77862,-1.0,-1.0,77862,-1.0,-1.0
20612,8,12190,0.0625,0.0625,12190,0.0625,0.0625
20613,8,42440,0.10754322085395926,0.10754322085395926,42233,0.08853432118795593,0.09233610112115659
20614,8,42440,0.10754322085395926,0.10754322085395926,42346,0.147303851450522,0.14006028972665235
20615,8,42440,0.10754322085395926,0.10754322085395926,42440,0.10754322085395926,0.10754322085395926
20616,8,20569,-0.1875,-0.1875,20569,-0.1875,-0.1875
20617,8,12706,0.34290905405287503,0.34290905405287503,12677,0.17350917081057501,0.20738914745903503
20618,8,20277,0.4375,0.4375,20277,0.4375,0.4375
20619,8,10964,0.43403949054320845,0.43403949054320845,10896,0.1875,0.2368078981086417
20620,8,10864,-0.0625,-0.0625,10864,-0.0625,-0.0625
20621,8,77408,0.20737848101265824,0.20737848101265824,77499,0.6875,0.6875
20622,8,77745,0.14750000000000002,0.14750000000000002,77408,0.20737848101265824,0.1970850991741774
20623,8,20361,0.25,0.25,20361,0.25,0.25
20624,8,27576,-0.125,-0.125,27576,-0.125,-0.125
20625,8,39234,0.65625,0.65625,38317,0.6467983675507907,0.6467983675507907
20626,8,39147,0.6092228924604345,0.6092228924604345,39194,0.6502130101020447,0.6340175627780643
20627,8,38502,-0.875,-0.875,39068,-1.0,-1.0
20628,8,38567,0.530263026535595,0.530263026535595,39031,0.725403640425038,0.7088996777118596
20629,8,38317,0.6467983675507907,0.6467983675507907,39147,0.6092228924604345,0.6092228924604345
20630,8,39234,0.65625,0.65625,39089,-0.11500000000000005,0.012606818181818191
20631,8,38997,0.713125,0.713125,39089,0.012606818181818191,0.12851073553719014
20632,8,39147,0.6092228924604345,0.6092228924604345,38842,-0.575,-0.575
20633,8,61587,0.0,0.0,61587,0.0,0.0
20634,8,75141,0.75,0.75,75141,0.75,0.75
20635,8,79428,0.129,0.129,79163,0.08310339582876888,0.0922827166630151
20636,8,79231,0.16691238379783307,0.16691238379783307,79428,0.129,0.1365824767595666
20637,8,57514,0.75,0.75,57514,0.75,0.75
20638,8,42257,0.10768950437317784,0.10768950437317784,42239,0.5625,0.5625
20639,8,42239,0.5625,0.5625,42257,0.10768950437317784,0.17973936697901627
20640,8,42239,0.5625,0.5625,42402,-0.06607142857142856,-0.006036443148688016
20641,8,25633,0.45623492462440696,0.45623492462440696,25633,0.45623492462440696,0.45623492462440696
20642,8,25635,0.38477621295325926,0.38477621295325926,25635,0.38477621295325926,0.38477621295325926
20643,8,11377,-1.0,-1.0,11796,0.26313768574908647,0.26313768574908647
20644,8,11377,-1.0,-1.0,11377,-1.0,-1.0
20645,8,11377,-1.0,-1.0,11327,0.24469694551319107,0.24469694551319107
20646,8,11796,0.26313768574908647,0.26313768574908647,11163,0.0945270742996346,0.12824919658952497
20647,8,28555,0.75,0.75,28555,0.75,0.75
20648,8,27936,0.3125,0.3125,27936,0.3125,0.3125
20649,8,50844,0.25,0.25,50844,0.25,0.25
20650,8,26063,0.1875,0.1875,26063,0.1875,0.1875
20651,8,64573,0.6125,0.6125,64573,0.6125,0.6125
20652,8,64856,0.5,0.5,64612,0.5,0.5
20653,8,26206,0.3602861589221886,0.3602861589221886,26206,0.3602861589221886,0.3602861589221886
20654,8,62051,-0.375,-0.375,62051,-0.375,-0.375
20655,8,22984,-1.0,-1.0,22872,0.5625,0.5625
20656,8,22984,-1.0,-1.0,22984,-1.0,-1.0
20657,8,34576,0.5625,0.5625,34748,0.6660714285714285,0.638804664723032
20658,8,34760,0.6875,0.6875,34748,0.638804664723032,0.6485437317784256
