,timestep,case_id,attitude,subnorms,pbc,adoption_status,geoid,actualpayback,intention,tolerated_payback,year
41519,11,10759,0.17297531358343976,0.25,1,0,360010137031112,0.0,0.5294174554173084,15.0,2016.0
41520,11,24294,0.5177704633813331,0.0,1,0,360010004031002,0.0,0.6650323275769748,15.0,2016.0
41521,11,3825,0.2125996760106488,0.5,1,0,360010142022011,0.0,0.5751332671742231,7.5,2016.0
41522,11,74958,0.375,0.0,1,0,360010026001006,0.0,0.5976874999999999,10.0,2016.0
41523,11,27233,0.14397284738041002,0.0,1,0,360010127001022,0.0,0.48871199210933935,15.0,2016.0
41524,11,8467,0.375,1.0,1,0,360010020005002,0.0,0.7057874999999999,7.5,2016.0
41525,11,10659,0.28917011046493757,0.5,1,0,360010137031112,0.0,0.6112515411063111,15.0,2016.0
41526,11,64464,-0.5625,0.5,1,0,360010136014029,0.0,0.20951874999999992,15.0,2016.0
41527,11,73301,0.1902429795442601,0.5,1,0,360010016003005,0.0,0.5645876134510275,15.0,2016.0
41528,11,53122,0.4375,0.25,1,0,360010132005012,0.0,0.6541937499999999,7.5,2016.0
41529,11,16897,0.10162564037047224,0.25,1,0,360010143023021,0.0,0.49576181456275176,15.0,2016.0
41530,11,427,0.6609639000103519,1.0,1,1,360010136012006,0.0,0.8406766716348829,15.0,2016.0
41531,11,76817,0.2204681787080255,0.0,1,0,360010142031005,0.0,0.5247948398965756,7.5,2016.0
41532,11,30692,0.04161951883635531,-0.25,1,0,360010004011011,0.0,0.41340692703510873,15.0,2016.0
41533,11,75144,0.0625,0.0,1,0,360010132002005,0.0,0.45028124999999997,15.0,2016.0
41534,11,65438,0.20361002347998172,1.0,1,0,360010138014000,0.0,0.6249428480755073,10.0,2016.0
41535,11,65465,0.2279182671536995,0.75,1,0,360010138014000,0.0,0.6093840466164,6.0,2016.0
41536,11,30701,0.08895197839837306,0.75,1,0,360010004011011,0.0,0.5438336482105126,7.5,2016.0
41537,11,16156,-0.8125,1.0,1,0,360010136015000,0.0,0.14564374999999993,15.0,2016.0
41538,11,73265,0.42402624188169213,1.0,1,0,360010016003005,0.0,0.7289131782955941,5.0,2016.0
41539,11,491,0.34642355792338125,1.0,1,0,360010136012006,0.0,0.6923079922724589,15.0,2016.0
41540,11,46558,0.5484890362511052,0.5,1,0,360010135032027,0.0,0.7335722783996463,10.0,2016.0
41541,11,20119,0.21040267690240638,0.25,1,0,360010017002009,0.0,0.547071942694865,7.5,2016.0
41542,11,46564,0.4345,0.5,1,0,360010135032027,0.0,0.67980365,15.0,2016.0
41543,11,57466,0.9375,0.75,1,1,360010147001055,0.0,0.94409375,7.5,2016.0
41544,11,25681,-0.3125,0.0,1,0,360010019021006,0.0,0.27339374999999994,7.5,2016.0
41545,11,28578,0.125,0.75,1,0,360010135063010,0.0,0.5608375,7.5,2016.0
41546,11,57278,0.71875,1.0,1,1,360010147001055,0.0,0.8679343749999999,7.5,2016.0
41547,11,34594,0.0,1.0,1,0,360010004034027,0.0,0.5288999999999999,7.5,2016.0
41548,11,77044,0.5315546415560252,0.25,1,0,360010142031005,0.0,0.698559324421977,7.5,2016.0
41549,11,78500,0.02854940691634074,1.0,1,0,360010146144000,0.0,0.5423667552424378,15.0,2016.0
41550,11,25011,0.3125,0.25,1,0,360010007004001,0.0,0.59523125,10.0,2016.0
41551,11,16178,-0.37729999999999997,1.0,1,0,360010136015000,0.0,0.35092758999999996,7.5,2016.0
41552,11,2642,0.75,0.5,1,1,360010138012011,0.0,0.8286250000000001,15.0,2016.0
41553,11,49143,-1.0,0.75,1,0,360010130005003,0.0,0.030174999999999952,10.0,2016.0
41554,11,27376,0.2318642369020501,0.0,1,0,360010127001022,0.0,0.530170360546697,7.5,2016.0
41555,11,380,0.5842649179894734,0.5,1,1,360010136012006,0.0,0.7504477618156346,10.0,2016.0
41556,11,68495,0.6390871875253512,0.5,1,1,360010141003000,0.0,0.7763074263557082,7.5,2016.0
41557,11,25008,0.5,0.25,1,0,360010007004004,0.0,0.6836749999999999,15.0,2016.0
41558,11,27894,0.75,0.75,1,1,360010135062001,0.0,0.85565,15.0,2016.0
41559,11,1834,0.036655807791136544,0.75,1,0,360010138017001,0.0,0.5191655445350791,15.0,2016.0
41560,11,46515,0.375,0.75,1,0,360010135032015,0.0,0.6787624999999999,15.0,2016.0
41561,11,16158,0.625,0.75,1,1,360010136015000,0.0,0.7966875,10.0,2016.0
41562,11,2610,0.6875,1.0,1,1,360010138012011,0.0,0.8531937499999999,5.0,2016.0
41563,11,30762,0.3541261386138614,0.75,1,0,360010018022024,0.0,0.6689162995841584,10.0,2016.0
41564,11,11121,0.75,0.75,1,1,360010146092020,0.0,0.85565,7.5,2016.0
41565,11,72694,0.0625,0.5,1,0,360010020001008,0.0,0.50433125,15.0,2016.0
41566,11,49130,0.5839919948503931,0.25,1,0,360010130005003,0.0,0.7232940239709303,15.0,2016.0
41567,11,10576,-0.3237758604163692,-0.5,1,0,360010137031112,0.0,0.2140249266415986,6.0,2016.0
41568,11,32286,0.368811465468388,0.5,1,0,360010141002012,0.0,0.6488183682614387,10.0,2016.0
41569,11,2460,1.0,0.5,1,1,360010138012011,0.0,0.94655,10.0,2016.0
41570,11,68515,0.5911931818181818,0.75,1,1,360010141003000,0.0,0.7807408238636363,10.0,2016.0
41571,11,27808,0.743575724464929,0.5,1,1,360010135062001,0.0,0.825594669230107,20.0,2016.0
41572,11,2711,0.10589844296304787,0.5,1,0,360010138012027,0.0,0.5248022955456697,7.5,2016.0
41573,11,32269,0.23005712351592908,0.5,1,0,360010141002012,0.0,0.5833679451624637,15.0,2016.0
41574,11,398,0.32422721279950284,1.0,1,0,360010136012006,0.0,0.6818379762775254,10.0,2016.0
41575,11,53458,0.26914615384615387,0.5,1,0,360010133002016,0.0,0.6018062407692307,6.0,2016.0
41576,11,68521,0.40429557396477606,1.0,1,0,360010141003000,0.0,0.7196062222391848,10.0,2016.0
41577,11,27810,0.6440758303530604,0.5,1,1,360010135062001,0.0,0.7786605691775386,10.0,2016.0
41578,11,2407,0.58671875,1.0,1,1,360010138012011,0.0,0.805655234375,10.0,2016.0
41579,11,1211,0.52225,1.0,1,1,360010138016024,0.0,0.7752453249999999,7.5,2016.0
41580,11,35320,0.3164809573682048,0.25,1,0,360010006001000,0.0,0.5971090675905821,10.0,2016.0
41581,11,42782,0.4375,-0.25,1,0,360010146082023,0.0,0.60014375,7.5,2016.0
41582,11,41271,0.375,0.25,1,0,360010147002010,0.0,0.6247124999999999,6.0,2016.0
41583,11,1218,0.5822756380928151,1.0,1,1,360010138016024,0.0,0.8035594184883809,15.0,2016.0
41584,11,72551,0.571053020597039,1.0,1,1,360010020001004,0.0,0.7982657098156233,15.0,2016.0
41585,11,68469,0.556887287709543,1.0,1,1,360010141003000,0.0,0.7915837336125914,10.0,2016.0
41586,11,11628,0.4375,0.5,1,0,360010146092029,0.0,0.68121875,15.0,2016.0
41587,11,49095,0.5171020589455282,0.0,1,0,360010130005003,0.0,0.6647170412046056,6.0,2016.0
41588,11,1154,0.6168444414142645,0.5,1,1,360010138016024,0.0,0.7658155230151086,15.0,2016.0
41589,11,53385,0.33006276213568464,0.5,1,0,360010133002016,0.0,0.6305406048994024,7.5,2016.0
41590,11,72561,-0.625,1.0,1,0,360010020001004,0.0,0.23408749999999992,15.0,2016.0
41591,11,35305,0.263296191473641,0.25,1,0,360010006001000,0.0,0.5720218135181164,7.5,2016.0
41592,11,1128,0.6125,0.5,1,1,360010138016024,0.0,0.7637662500000001,15.0,2016.0
41593,11,72555,0.47981864560174425,1.0,1,1,360010020001004,0.0,0.7552304551303427,5.0,2016.0
41594,11,6078,0.16696316167132685,0.25,1,0,360010138021012,0.0,0.5265815233603648,6.0,2016.0
41595,11,57294,0.5625,0.75,1,1,360010147001041,0.0,0.76720625,7.5,2016.0
41596,11,72534,0.5850039913027438,0.5,1,1,360010020001004,0.0,0.7507963826975043,15.0,2016.0
41597,11,49098,0.4756202604868425,0.5,-1.0,0,360010130005003,0.0,0.4174000768716436,0.0,2016.0
41598,11,16124,-0.5448878696001285,1.0,1,0,360010136015000,0.0,0.2718763919096193,15.0,2016.0
41599,11,77977,-0.125,1.0,1,0,360010146143006,0.0,0.4699374999999999,7.5,2016.0
41600,11,80079,0.5376569001585773,1.0,1,1,360010137054000,0.0,0.7825127598048008,7.5,2016.0
41601,11,29615,1.0,0.25,1,1,360010146093001,0.0,0.9195249999999999,15.0,2016.0
41602,11,29695,-0.8125,1.0,1,0,360010146093001,0.0,0.14564374999999993,5.0,2016.0
41603,11,47166,0.6875,0.5,1,1,360010148023070,0.0,0.7991437499999999,15.0,2016.0
41604,11,33355,-0.6875,0.5,1,0,360010145011064,0.0,0.15055624999999995,7.5,2016.0
41605,11,27827,0.6000732366158655,0.5,1,1,360010135062001,0.0,0.7579045457117038,7.5,2016.0
41606,11,52785,0.0,0.25,1,0,360010135083068,0.0,0.447825,10.0,2016.0
41607,11,29727,0.3125,1.0,1,0,360010146093001,0.0,0.67630625,10.0,2016.0
41608,11,1007,0.125,0.0,1,0,360010138011004,0.0,0.4797625,20.0,2016.0
41609,11,28931,0.593250389984636,0.75,1,1,360010018015019,0.0,0.7817112089557527,7.5,2016.0
41610,11,49227,0.48203125,1.0,1,1,360010130005003,0.0,0.756274140625,10.0,2016.0
41611,11,50155,0.5180258450772034,1.0,1,1,360010146074000,0.0,0.7732527911229168,6.0,2016.0
41612,11,23169,0.0,0.75,1,0,360010142024012,0.0,0.501875,15.0,2016.0
41613,11,49231,-0.8125,0.0,1,0,360010130005003,0.0,0.03754374999999993,15.0,2016.0
41614,11,15982,0.46875,1.0,1,1,360010135033001,0.0,0.750009375,7.5,2016.0
41615,11,80046,0.5890624999999999,0.5,1,1,360010137054000,0.0,0.7527107812499999,15.0,2016.0
41616,11,30936,0.5214167884411564,0.5,1,0,360010018022024,0.0,0.7208022991076934,15.0,2016.0
41617,11,15675,0.75,0.75,1,1,360010135033001,0.0,0.85565,7.5,2016.0
