,edges
245,"(62052, 62052)"
246,"(7162, 6859)"
247,"(7162, 7162)"
248,"(7162, 7000)"
249,"(6851, 6851)"
250,"(70187, 70187)"
251,"(36066, 36021)"
252,"(36066, 35877)"
253,"(36021, 35877)"
254,"(59811, 59959)"
255,"(59811, 59811)"
256,"(59651, 59651)"
257,"(59668, 59668)"
258,"(61966, 62047)"
259,"(61966, 61966)"
260,"(30778, 30778)"
261,"(67787, 67886)"
262,"(67787, 68064)"
263,"(67787, 67421)"
264,"(67886, 68064)"
265,"(68073, 68073)"
266,"(68064, 67592)"
267,"(67432, 68108)"
268,"(67592, 67604)"
269,"(7010, 7010)"
270,"(7010, 6900)"
271,"(31413, 31413)"
272,"(67904, 67904)"
273,"(42443, 42443)"
274,"(62716, 62716)"
275,"(62920, 62899)"
276,"(19307, 19304)"
277,"(45610, 45610)"
278,"(45610, 45390)"
279,"(27166, 27166)"
280,"(2589, 2227)"
281,"(2265, 2109)"
282,"(13435, 13435)"
283,"(13435, 13507)"
284,"(67543, 67543)"
285,"(73576, 73576)"
286,"(73436, 73436)"
287,"(31597, 31597)"
288,"(31618, 31618)"
289,"(69408, 69439)"
290,"(69439, 69448)"
291,"(69448, 69477)"
292,"(69477, 69750)"
293,"(7869, 7849)"
294,"(7869, 7790)"
295,"(7869, 7790)"
296,"(4254, 4089)"
297,"(55045, 55045)"
298,"(63380, 63453)"
299,"(63380, 63380)"
300,"(29095, 29097)"
301,"(29095, 29097)"
302,"(63952, 63959)"
303,"(63952, 64037)"
304,"(64164, 64164)"
305,"(67980, 67980)"
306,"(31449, 31449)"
307,"(67068, 67068)"
308,"(46653, 46422)"
309,"(46653, 46592)"
310,"(46653, 46592)"
311,"(46253, 46253)"
312,"(41796, 41796)"
313,"(8691, 8691)"
314,"(31351, 31351)"
315,"(9492, 9398)"
316,"(9398, 9618)"
317,"(21761, 21761)"
318,"(21913, 21913)"
319,"(69893, 69893)"
320,"(57547, 57416)"
321,"(25621, 25621)"
322,"(25456, 25402)"
323,"(31093, 31093)"
324,"(62767, 62767)"
325,"(35105, 34926)"
326,"(35105, 35105)"
327,"(34926, 35262)"
328,"(35231, 35068)"
329,"(35068, 35173)"
330,"(35068, 35017)"
331,"(8226, 8226)"
332,"(64872, 64872)"
333,"(68085, 68085)"
334,"(62884, 62884)"
335,"(64917, 64917)"
336,"(35642, 35642)"
337,"(35407, 35402)"
338,"(35407, 35402)"
339,"(57142, 56979)"
340,"(57142, 57142)"
341,"(23374, 23374)"
342,"(62106, 62106)"
343,"(61919, 61919)"
344,"(61919, 61928)"
345,"(52413, 52569)"
346,"(19364, 19364)"
347,"(30972, 30972)"
348,"(37854, 37589)"
349,"(37854, 37589)"
350,"(37589, 37681)"
351,"(30497, 30194)"
352,"(30497, 30683)"
353,"(30194, 30683)"
354,"(30683, 30489)"
355,"(30584, 30584)"
356,"(31132, 31132)"
357,"(31132, 30760)"
358,"(17837, 17837)"
359,"(43320, 43320)"
360,"(80138, 79763)"
361,"(61457, 61457)"
362,"(10690, 10690)"
363,"(44251, 44251)"
364,"(18817, 18817)"
365,"(56718, 56319)"
366,"(56718, 56664)"
367,"(56718, 56664)"
368,"(71310, 71310)"
369,"(17962, 17962)"
370,"(52705, 52504)"
371,"(52919, 52587)"
372,"(52919, 52428)"
373,"(73653, 73645)"
374,"(73653, 73653)"
375,"(73653, 73628)"
376,"(41610, 41610)"
377,"(18724, 18646)"
378,"(67919, 68040)"
379,"(67919, 67919)"
380,"(62076, 62076)"
381,"(33426, 33426)"
382,"(49777, 49777)"
383,"(35776, 36044)"
384,"(62980, 62980)"
385,"(55657, 55657)"
386,"(21091, 21091)"
387,"(21105, 21142)"
388,"(21105, 21164)"
389,"(55016, 55016)"
390,"(46141, 46141)"
391,"(62864, 62891)"
392,"(7795, 7795)"
393,"(21471, 21471)"
394,"(32156, 32156)"
395,"(61697, 61697)"
396,"(35172, 35172)"
397,"(66360, 66260)"
398,"(66250, 66250)"
399,"(34428, 34428)"
400,"(73613, 73637)"
401,"(73661, 73655)"
402,"(73661, 73655)"
403,"(67207, 67207)"
404,"(68883, 68883)"
405,"(73686, 73686)"
406,"(10117, 10117)"
407,"(31390, 31210)"
408,"(33612, 33612)"
409,"(36065, 35887)"
410,"(50042, 50347)"
411,"(50347, 50713)"
412,"(55868, 55778)"
413,"(55868, 56020)"
414,"(55778, 56234)"
415,"(55622, 55774)"
416,"(55622, 56234)"
417,"(56016, 55667)"
418,"(56016, 55626)"
419,"(56016, 56223)"
420,"(56234, 55928)"
421,"(55963, 55646)"
422,"(55963, 56223)"
423,"(55715, 55964)"
424,"(55928, 55981)"
425,"(17979, 17979)"
426,"(9498, 9498)"
427,"(39121, 38324)"
428,"(38707, 38581)"
429,"(38707, 38984)"
430,"(38581, 38483)"
431,"(38984, 38956)"
432,"(78986, 78986)"
433,"(71298, 71298)"
434,"(71298, 71275)"
435,"(66397, 66048)"
436,"(66397, 65957)"
437,"(66048, 66204)"
438,"(66198, 66053)"
439,"(66198, 66224)"
440,"(66224, 65957)"
441,"(66224, 66279)"
442,"(66126, 65969)"
443,"(13354, 13687)"
444,"(13354, 13649)"
445,"(45042, 45042)"
446,"(19444, 19444)"
447,"(63844, 64063)"
448,"(64063, 64021)"
449,"(11595, 11459)"
450,"(11595, 11300)"
451,"(11148, 11659)"
452,"(11148, 11189)"
453,"(11148, 11300)"
454,"(11338, 11139)"
455,"(11338, 11307)"
456,"(11189, 11307)"
457,"(11541, 11308)"
458,"(60481, 60151)"
459,"(60161, 60490)"
460,"(67061, 67061)"
461,"(11010, 11010)"
462,"(14178, 14380)"
463,"(14178, 14449)"
464,"(14449, 14149)"
465,"(14149, 14109)"
466,"(14078, 14194)"
467,"(14078, 14109)"
468,"(61534, 61534)"
469,"(22719, 22719)"
470,"(75888, 75740)"
471,"(69122, 69122)"
472,"(61241, 61241)"
473,"(21754, 21754)"
474,"(62902, 62988)"
475,"(62902, 62902)"
476,"(18331, 18210)"
477,"(18331, 18223)"
478,"(18210, 18223)"
479,"(16942, 16942)"
480,"(16942, 17337)"
481,"(41637, 41760)"
482,"(33635, 33635)"
483,"(62763, 62763)"
484,"(55955, 55955)"
485,"(55955, 56001)"
486,"(78414, 78043)"
487,"(78414, 78472)"
488,"(78043, 78400)"
489,"(78428, 78278)"
490,"(78133, 78261)"
491,"(78133, 78333)"
492,"(78333, 78399)"
493,"(78060, 78228)"
494,"(78295, 78380)"
495,"(78295, 78465)"
496,"(51958, 51923)"
497,"(51958, 52167)"
498,"(51958, 52126)"
499,"(69359, 69359)"
500,"(69359, 69714)"
501,"(49522, 49522)"
502,"(19130, 19130)"
503,"(64322, 64322)"
504,"(64322, 64308)"
505,"(56528, 56528)"
506,"(51592, 51592)"
507,"(51592, 51528)"
508,"(51528, 51513)"
509,"(80271, 80271)"
510,"(42518, 42518)"
511,"(43579, 43579)"
512,"(20735, 20718)"
513,"(16583, 16578)"
514,"(16649, 16649)"
515,"(64599, 64599)"
516,"(64599, 64582)"
517,"(45207, 45207)"
518,"(45207, 45107)"
519,"(21433, 21433)"
520,"(21436, 21436)"
521,"(48817, 48265)"
522,"(21218, 21218)"
523,"(50707, 50707)"
524,"(50707, 50197)"
525,"(47293, 47293)"
526,"(60362, 60362)"
527,"(44048, 44048)"
528,"(76357, 76357)"
529,"(41943, 41943)"
530,"(63857, 63898)"
531,"(66957, 66957)"
532,"(60597, 60597)"
533,"(65186, 65186)"
534,"(51448, 51448)"
535,"(58563, 58623)"
536,"(77441, 77441)"
537,"(37618, 37618)"
538,"(37835, 37835)"
539,"(60545, 60545)"
540,"(32715, 32978)"
541,"(32978, 32816)"
542,"(32978, 32926)"
543,"(40685, 40685)"
544,"(40685, 40676)"
545,"(40881, 40814)"
546,"(78797, 78720)"
547,"(78797, 79041)"
548,"(78720, 78956)"
549,"(78956, 78602)"
550,"(32948, 32792)"
551,"(32948, 32948)"
552,"(32792, 33005)"
553,"(26228, 26228)"
554,"(18851, 18825)"
555,"(18851, 18851)"
556,"(45574, 45581)"
557,"(36500, 36267)"
558,"(36500, 36541)"
559,"(36267, 36164)"
560,"(36537, 36527)"
561,"(36527, 36155)"
562,"(36579, 36530)"
563,"(53408, 53408)"
564,"(53357, 53357)"
565,"(32988, 32956)"
566,"(41498, 41498)"
567,"(77771, 77771)"
568,"(77771, 77236)"
569,"(19515, 19515)"
570,"(58886, 58886)"
571,"(72552, 72552)"
572,"(4618, 4866)"
573,"(4866, 4524)"
574,"(4866, 4527)"
575,"(34306, 34306)"
576,"(58591, 58591)"
577,"(51614, 51614)"
578,"(27625, 27625)"
579,"(64936, 65057)"
580,"(40599, 40599)"
581,"(79910, 80031)"
582,"(37377, 37444)"
583,"(37377, 37444)"
584,"(37451, 37451)"
585,"(8423, 8423)"
586,"(71037, 71037)"
587,"(47421, 47421)"
588,"(20048, 20048)"
589,"(45630, 45630)"
590,"(28159, 28159)"
591,"(37537, 37406)"
592,"(37537, 37537)"
593,"(18696, 18696)"
594,"(66941, 66941)"
595,"(66620, 66620)"
596,"(33452, 33452)"
597,"(33452, 33681)"
598,"(76663, 76663)"
599,"(50494, 50494)"
600,"(51137, 51155)"
601,"(51137, 51137)"
602,"(51155, 50916)"
603,"(51155, 50981)"
604,"(50916, 51038)"
605,"(34937, 35146)"
606,"(62351, 62261)"
607,"(62351, 62310)"
608,"(62310, 62374)"
609,"(18976, 18976)"
610,"(33183, 33183)"
611,"(60457, 60006)"
612,"(60457, 60317)"
613,"(60457, 60134)"
614,"(60006, 60117)"
615,"(60117, 60023)"
616,"(60023, 60358)"
617,"(60090, 60090)"
618,"(60090, 60528)"
619,"(60528, 60101)"
620,"(24082, 24082)"
621,"(24082, 24231)"
622,"(1729, 1729)"
623,"(1444, 1162)"
624,"(1444, 1798)"
625,"(1566, 1566)"
626,"(1798, 1420)"
627,"(3935, 3935)"
628,"(54010, 53879)"
629,"(53879, 53545)"
630,"(53967, 53535)"
631,"(54027, 53611)"
632,"(53611, 53620)"
633,"(59502, 59719)"
634,"(59502, 59457)"
635,"(59719, 59685)"
636,"(59719, 59562)"
637,"(59562, 59457)"
638,"(59457, 59500)"
639,"(7543, 7516)"
640,"(7543, 7565)"
641,"(7543, 7543)"
642,"(68763, 68763)"
643,"(68763, 68464)"
644,"(68656, 68628)"
645,"(68371, 68371)"
646,"(9770, 9770)"
647,"(51874, 51874)"
648,"(53252, 53252)"
649,"(69904, 69904)"
650,"(9811, 9811)"
651,"(60318, 60302)"
652,"(60302, 60129)"
653,"(35168, 35264)"
654,"(35168, 35092)"
655,"(39793, 39739)"
656,"(39793, 39593)"
657,"(39739, 39842)"
658,"(39593, 39553)"
659,"(39842, 39956)"
660,"(49809, 49993)"
661,"(49809, 49809)"
662,"(64450, 64489)"
663,"(64450, 64743)"
664,"(64489, 64818)"
665,"(65553, 65572)"
666,"(73547, 73540)"
667,"(73547, 73540)"
668,"(49211, 49285)"
669,"(49211, 49211)"
670,"(61284, 61284)"
671,"(7546, 7546)"
672,"(35204, 35204)"
673,"(51265, 51265)"
674,"(76263, 76263)"
675,"(23982, 23982)"
676,"(15159, 15159)"
677,"(50818, 50839)"
678,"(68703, 68495)"
679,"(68703, 68369)"
680,"(68703, 68640)"
681,"(68407, 68469)"
682,"(68407, 68634)"
683,"(68665, 68544)"
684,"(68665, 68338)"
685,"(68380, 68539)"
686,"(68380, 68627)"
687,"(68787, 68565)"
688,"(68787, 68342)"
689,"(68787, 68272)"
690,"(68627, 68338)"
691,"(68220, 68428)"
692,"(68634, 68449)"
693,"(68515, 68401)"
694,"(68296, 68658)"
695,"(44369, 44369)"
696,"(10747, 10747)"
697,"(24867, 24867)"
698,"(24701, 24701)"
699,"(9780, 9780)"
700,"(16401, 16446)"
701,"(16401, 16476)"
702,"(44033, 44033)"
703,"(25627, 25627)"
704,"(65286, 65307)"
705,"(65286, 65390)"
706,"(65409, 65409)"
707,"(48651, 48896)"
708,"(48651, 48896)"
709,"(48896, 48503)"
710,"(7511, 7511)"
711,"(69906, 69906)"
712,"(80247, 80247)"
713,"(80247, 80210)"
714,"(43913, 43913)"
715,"(43913, 43465)"
716,"(58822, 58822)"
717,"(58822, 59335)"
718,"(59348, 59116)"
719,"(59335, 59117)"
720,"(6195, 6195)"
721,"(80238, 80149)"
722,"(24814, 24814)"
723,"(39937, 39937)"
724,"(21188, 21188)"
725,"(10359, 10532)"
726,"(10359, 10324)"
727,"(10532, 10324)"
728,"(17123, 17123)"
729,"(14294, 14294)"
730,"(42486, 42486)"
731,"(42559, 42547)"
732,"(40084, 39280)"
733,"(39823, 39823)"
734,"(58416, 58416)"
735,"(57735, 57735)"
736,"(8539, 8767)"
737,"(8539, 8539)"
738,"(25250, 25518)"
739,"(25250, 25250)"
740,"(25250, 25476)"
741,"(60977, 60977)"
742,"(13666, 13519)"
743,"(13666, 13608)"
744,"(13666, 13847)"
745,"(13666, 13656)"
746,"(13666, 13647)"
747,"(13608, 13847)"
748,"(13384, 13703)"
749,"(13703, 13242)"
750,"(13874, 13683)"
751,"(13874, 13224)"
752,"(13375, 13768)"
753,"(13375, 13670)"
754,"(31764, 31764)"
755,"(11106, 11106)"
756,"(11654, 11654)"
757,"(78334, 78418)"
758,"(78334, 78418)"
759,"(74884, 74845)"
760,"(67289, 67229)"
761,"(67172, 67172)"
762,"(10781, 10781)"
763,"(54234, 54166)"
764,"(54234, 54181)"
765,"(54169, 54344)"
766,"(54210, 54333)"
767,"(65493, 65474)"
768,"(57780, 57780)"
769,"(19036, 19036)"
770,"(75050, 75050)"
771,"(14948, 15202)"
772,"(14948, 14948)"
773,"(14948, 15081)"
774,"(15081, 15207)"
775,"(67382, 67382)"
776,"(25766, 25766)"
777,"(19841, 19841)"
778,"(19580, 19662)"
779,"(19580, 19502)"
780,"(13055, 13055)"
781,"(67856, 67977)"
782,"(67856, 67770)"
783,"(67856, 68006)"
784,"(67977, 67770)"
785,"(25827, 25790)"
786,"(25790, 25758)"
787,"(32982, 33091)"
788,"(32770, 32770)"
789,"(75677, 75677)"
790,"(13122, 13122)"
791,"(67388, 67388)"
792,"(12496, 12496)"
793,"(45116, 45116)"
794,"(53803, 53803)"
795,"(40030, 40013)"
796,"(40030, 40013)"
797,"(36812, 36837)"
798,"(36812, 36683)"
799,"(36780, 36725)"
800,"(57819, 57819)"
801,"(65719, 65667)"
802,"(28361, 28361)"
803,"(38482, 38405)"
804,"(38482, 39004)"
805,"(38405, 39004)"
806,"(38405, 39090)"
807,"(39150, 38838)"
808,"(38810, 38980)"
809,"(38980, 38882)"
810,"(58051, 58051)"
811,"(55318, 55351)"
812,"(55318, 55318)"
813,"(17563, 17622)"
814,"(17813, 17888)"
815,"(17813, 17813)"
816,"(41038, 41038)"
817,"(16485, 16302)"
818,"(16485, 16485)"
819,"(27963, 27963)"
820,"(78282, 78282)"
821,"(34020, 34039)"
822,"(34039, 33920)"
823,"(34074, 33995)"
824,"(76317, 76317)"
825,"(60653, 60653)"
826,"(73747, 73747)"
827,"(60635, 60635)"
828,"(67878, 67924)"
829,"(37973, 38237)"
830,"(37973, 38210)"
831,"(38210, 38210)"
832,"(38035, 38294)"
833,"(39878, 39350)"
834,"(39878, 39726)"
835,"(75468, 75419)"
836,"(75468, 75606)"
837,"(75419, 75894)"
838,"(75782, 75782)"
839,"(75780, 75780)"
840,"(75747, 75738)"
841,"(8041, 8064)"
842,"(8041, 8041)"
843,"(58202, 58202)"
844,"(58408, 58408)"
845,"(70575, 70575)"
846,"(40001, 39978)"
847,"(40001, 39889)"
848,"(39898, 39898)"
849,"(19810, 19800)"
850,"(19810, 19810)"
851,"(12415, 12415)"
852,"(12553, 12605)"
853,"(22442, 22436)"
854,"(22442, 22442)"
855,"(12490, 12490)"
856,"(14664, 14664)"
857,"(42688, 43180)"
858,"(54522, 54522)"
859,"(61128, 61128)"
860,"(61339, 60726)"
861,"(61339, 61339)"
862,"(61329, 61329)"
863,"(63064, 62714)"
864,"(12654, 12654)"
865,"(66907, 66907)"
866,"(66901, 66459)"
867,"(57955, 57955)"
868,"(29887, 29649)"
869,"(29887, 29996)"
870,"(29649, 29786)"
871,"(29979, 30054)"
872,"(29979, 29996)"
873,"(29656, 29951)"
874,"(29951, 29922)"
875,"(36439, 36581)"
876,"(36439, 36524)"
877,"(18013, 18013)"
878,"(18013, 18135)"
879,"(18316, 18258)"
880,"(18316, 18258)"
881,"(16768, 16768)"
882,"(66465, 66465)"
883,"(41131, 41131)"
884,"(47460, 47514)"
885,"(47460, 47520)"
886,"(47520, 47479)"
887,"(36339, 36339)"
888,"(16379, 16379)"
889,"(16355, 16355)"
890,"(55541, 55541)"
891,"(55541, 55553)"
892,"(79914, 79681)"
893,"(79914, 79583)"
894,"(64941, 64945)"
895,"(64941, 64945)"
896,"(70884, 70884)"
897,"(71820, 71820)"
898,"(71959, 72106)"
899,"(72322, 71996)"
900,"(47410, 47410)"
901,"(26624, 26624)"
902,"(36248, 36248)"
903,"(69625, 69872)"
904,"(69625, 69625)"
905,"(69872, 69463)"
906,"(69615, 69615)"
907,"(25845, 25845)"
908,"(25798, 25728)"
909,"(47336, 47336)"
910,"(13492, 13492)"
911,"(10912, 11080)"
912,"(10912, 10894)"
913,"(11080, 10921)"
914,"(10894, 10894)"
915,"(10834, 10902)"
916,"(10834, 10921)"
917,"(54417, 54417)"
918,"(6704, 6704)"
919,"(56461, 56969)"
920,"(71960, 72269)"
921,"(1670, 1670)"
922,"(32305, 32305)"
923,"(33220, 33233)"
924,"(33220, 33233)"
925,"(69809, 69809)"
926,"(55824, 55824)"
927,"(56166, 56166)"
928,"(19812, 19812)"
929,"(62275, 62275)"
930,"(36388, 36388)"
931,"(55303, 55409)"
932,"(55303, 55481)"
933,"(55481, 55583)"
934,"(29440, 29440)"
935,"(44218, 44218)"
936,"(11241, 11124)"
937,"(11241, 11241)"
938,"(11124, 11413)"
939,"(21060, 21060)"
940,"(41740, 41740)"
941,"(6189, 6189)"
942,"(74401, 74259)"
943,"(74346, 74690)"
944,"(23614, 23614)"
945,"(57184, 56653)"
946,"(36191, 36191)"
947,"(36191, 36236)"
948,"(36092, 36092)"
949,"(46816, 46948)"
950,"(35819, 35819)"
951,"(65065, 65214)"
952,"(28839, 28839)"
953,"(77471, 77471)"
954,"(22952, 22852)"
955,"(23158, 23158)"
956,"(47185, 47159)"
957,"(47185, 47185)"
958,"(79680, 79727)"
959,"(79727, 80104)"
960,"(76203, 76288)"
961,"(76203, 76203)"
962,"(76042, 76073)"
963,"(61121, 61253)"
964,"(61121, 61121)"
965,"(61337, 61337)"
966,"(7625, 7625)"
967,"(77884, 77884)"
968,"(77114, 77114)"
969,"(3076, 3076)"
970,"(34286, 34286)"
971,"(43650, 43650)"
972,"(23123, 23123)"
973,"(22848, 22848)"
974,"(55170, 55066)"
975,"(43335, 43335)"
976,"(40195, 40195)"
977,"(40251, 40310)"
978,"(8400, 8400)"
979,"(52274, 52274)"
980,"(67127, 67178)"
981,"(67127, 67178)"
982,"(60601, 60534)"
983,"(77579, 77579)"
984,"(33129, 33441)"
985,"(23834, 23834)"
986,"(41574, 41574)"
987,"(62548, 62548)"
988,"(55521, 55521)"
989,"(55596, 55596)"
990,"(55509, 55509)"
991,"(13746, 13746)"
992,"(40348, 40348)"
993,"(27178, 27178)"
994,"(23100, 23100)"
995,"(22985, 22985)"
996,"(57392, 57501)"
997,"(48327, 48792)"
998,"(48327, 48826)"
999,"(48792, 48826)"
1000,"(48780, 48780)"
