,edges
1070,"(24268, 23990)"
1071,"(48710, 48715)"
1072,"(48642, 48908)"
1073,"(33868, 33923)"
1074,"(33868, 33865)"
1075,"(33865, 33977)"
1076,"(33865, 33954)"
1077,"(33865, 33865)"
1078,"(27352, 27352)"
1079,"(79302, 79159)"
1080,"(73857, 73857)"
1081,"(73294, 73211)"
1082,"(43542, 43542)"
1083,"(30095, 30354)"
1084,"(30354, 30314)"
1085,"(30309, 30425)"
1086,"(30309, 30454)"
1087,"(30368, 30520)"
1088,"(1740, 1740)"
1089,"(3819, 3819)"
1090,"(46397, 46397)"
1091,"(4634, 4957)"
1092,"(4634, 4634)"
1093,"(79259, 79353)"
1094,"(44004, 44004)"
1095,"(25508, 25491)"
1096,"(25330, 25330)"
1097,"(12006, 12006)"
1098,"(21791, 21791)"
1099,"(15577, 15577)"
1100,"(71026, 71150)"
1101,"(71026, 71113)"
1102,"(71026, 71026)"
1103,"(71113, 71061)"
1104,"(12895, 12895)"
1105,"(12895, 12820)"
1106,"(12895, 12871)"
1107,"(12895, 13068)"
1108,"(12820, 12838)"
1109,"(12871, 12833)"
1110,"(12860, 12827)"
1111,"(46412, 46464)"
1112,"(46464, 46278)"
1113,"(46252, 46384)"
1114,"(46252, 46261)"
1115,"(46384, 46237)"
1116,"(76586, 76498)"
1117,"(77044, 76687)"
1118,"(77044, 76817)"
1119,"(76830, 76876)"
1120,"(76817, 76784)"
1121,"(76666, 76790)"
1122,"(73059, 72985)"
1123,"(54132, 54264)"
1124,"(54132, 54264)"
1125,"(54132, 54215)"
1126,"(17930, 17930)"
1127,"(17620, 17620)"
1128,"(51534, 51534)"
1129,"(51454, 51454)"
1130,"(28449, 28449)"
1131,"(28478, 28478)"
1132,"(781, 692)"
1133,"(781, 692)"
1134,"(692, 555)"
1135,"(70283, 70480)"
1136,"(24386, 24386)"
1137,"(28466, 28549)"
1138,"(28466, 28473)"
1139,"(28466, 28633)"
1140,"(28549, 28633)"
1141,"(28549, 28701)"
1142,"(28451, 28451)"
1143,"(23648, 23648)"
1144,"(60223, 60446)"
1145,"(60223, 60138)"
1146,"(60138, 60396)"
1147,"(4228, 4228)"
1148,"(5849, 5596)"
1149,"(5849, 5519)"
1150,"(5596, 5519)"
1151,"(5519, 5952)"
1152,"(5764, 5764)"
1153,"(33537, 33575)"
1154,"(57856, 57856)"
1155,"(9839, 9839)"
1156,"(37645, 37645)"
1157,"(58722, 58722)"
1158,"(79359, 79338)"
1159,"(79359, 79321)"
1160,"(79321, 79321)"
1161,"(76894, 76535)"
1162,"(10075, 10075)"
1163,"(29103, 29212)"
1164,"(29212, 29042)"
1165,"(29042, 28981)"
1166,"(28981, 29094)"
1167,"(44768, 44784)"
1168,"(44768, 44768)"
1169,"(29579, 29086)"
1170,"(29579, 29524)"
1171,"(29086, 29524)"
1172,"(9894, 9888)"
1173,"(79193, 79193)"
1174,"(72366, 72366)"
1175,"(74547, 74547)"
1176,"(74429, 74450)"
1177,"(74429, 74295)"
1178,"(74450, 74295)"
1179,"(70020, 70020)"
1180,"(9885, 9885)"
1181,"(49988, 49988)"
1182,"(18754, 18754)"
1183,"(66560, 66560)"
1184,"(51952, 51952)"
1185,"(33293, 33293)"
1186,"(30974, 30763)"
1187,"(70362, 70362)"
1188,"(70362, 70287)"
1189,"(70287, 70421)"
1190,"(70421, 70249)"
1191,"(58496, 57682)"
1192,"(4859, 4859)"
1193,"(71454, 71454)"
1194,"(473, 26)"
1195,"(70841, 70709)"
1196,"(70841, 70841)"
1197,"(70546, 70546)"
1198,"(51897, 51759)"
1199,"(759, 759)"
1200,"(3807, 3710)"
1201,"(79382, 79382)"
1202,"(4137, 4137)"
1203,"(67080, 67080)"
1204,"(10055, 10055)"
1205,"(24572, 24572)"
1206,"(45135, 44917)"
1207,"(45135, 45179)"
1208,"(45135, 45179)"
1209,"(45135, 45239)"
1210,"(36503, 36503)"
1211,"(49830, 49830)"
1212,"(62129, 62129)"
1213,"(45948, 46021)"
1214,"(45948, 46024)"
1215,"(3997, 3902)"
1216,"(3513, 3513)"
1217,"(74459, 74404)"
1218,"(74404, 74518)"
1219,"(74543, 74543)"
1220,"(2932, 2932)"
1221,"(53813, 53813)"
1222,"(53813, 53834)"
1223,"(53826, 53826)"
1224,"(53834, 53740)"
1225,"(53834, 54008)"
1226,"(53745, 53642)"
1227,"(45435, 45435)"
1228,"(51092, 51092)"
1229,"(70670, 70922)"
1230,"(70922, 70971)"
1231,"(70971, 70964)"
1232,"(22440, 22440)"
1233,"(22440, 22275)"
1234,"(22423, 22423)"
1235,"(22423, 22357)"
1236,"(61992, 62121)"
1237,"(24476, 24565)"
1238,"(24565, 24559)"
1239,"(31924, 31924)"
1240,"(67420, 68055)"
1241,"(67420, 67672)"
1242,"(68048, 67659)"
1243,"(67564, 67885)"
1244,"(67564, 67785)"
1245,"(4152, 4341)"
1246,"(4152, 4152)"
1247,"(4294, 4294)"
1248,"(5030, 4806)"
1249,"(5030, 4766)"
1250,"(4806, 5093)"
1251,"(4806, 4982)"
1252,"(4982, 4766)"
1253,"(4982, 4719)"
1254,"(39303, 39303)"
1255,"(48922, 48922)"
1256,"(75984, 75984)"
1257,"(62538, 62538)"
1258,"(78539, 78968)"
1259,"(78539, 78500)"
1260,"(79082, 79106)"
1261,"(78590, 79097)"
1262,"(79139, 79139)"
1263,"(21348, 21310)"
1264,"(27894, 27966)"
1265,"(27894, 27925)"
1266,"(27894, 28025)"
1267,"(27810, 28006)"
1268,"(27810, 28032)"
1269,"(27925, 27755)"
1270,"(28025, 27745)"
1271,"(28032, 27808)"
1272,"(28032, 28377)"
1273,"(27808, 27827)"
1274,"(28261, 28368)"
1275,"(28261, 28377)"
1276,"(28148, 28328)"
1277,"(21367, 21367)"
1278,"(21311, 21311)"
1279,"(52545, 52441)"
1280,"(28720, 28720)"
1281,"(57265, 57265)"
1282,"(70131, 70131)"
1283,"(5376, 5286)"
1284,"(5320, 5320)"
1285,"(5390, 5459)"
1286,"(5390, 5443)"
1287,"(76052, 76052)"
1288,"(4147, 4147)"
1289,"(11892, 11892)"
1290,"(11892, 11907)"
1291,"(77483, 77483)"
1292,"(24058, 24058)"
1293,"(62512, 62512)"
1294,"(47239, 47239)"
1295,"(27036, 27036)"
1296,"(3793, 3869)"
1297,"(3869, 3843)"
1298,"(3843, 3738)"
1299,"(3843, 3721)"
1300,"(24594, 24594)"
1301,"(24677, 24677)"
1302,"(74912, 74912)"
1303,"(28600, 28600)"
1304,"(61293, 61293)"
1305,"(43632, 43632)"
1306,"(66125, 66125)"
1307,"(26918, 26918)"
1308,"(11848, 11848)"
1309,"(59300, 59300)"
1310,"(59300, 59410)"
1311,"(4385, 4223)"
1312,"(4385, 4288)"
1313,"(43607, 43607)"
1314,"(49199, 49199)"
1315,"(24759, 24759)"
1316,"(3825, 3825)"
1317,"(65438, 65465)"
1318,"(69172, 69251)"
1319,"(69172, 69251)"
1320,"(45999, 45999)"
1321,"(24294, 24275)"
1322,"(24294, 24294)"
1323,"(15296, 15296)"
1324,"(1834, 1987)"
1325,"(1834, 1834)"
1326,"(44421, 44421)"
1327,"(22869, 22869)"
1328,"(35004, 35006)"
1329,"(35004, 35004)"
1330,"(20119, 20082)"
1331,"(20119, 20119)"
1332,"(10576, 10576)"
1333,"(74958, 74958)"
1334,"(27233, 27376)"
1335,"(73265, 73265)"
1336,"(53122, 53122)"
1337,"(17088, 16897)"
1338,"(491, 427)"
1339,"(491, 255)"
1340,"(427, 86)"
1341,"(255, 24)"
1342,"(255, 380)"
1343,"(53, 398)"
1344,"(86, 520)"
1345,"(30113, 30692)"
1346,"(30701, 30134)"
1347,"(75144, 75144)"
1348,"(16156, 16156)"
1349,"(16156, 16178)"
1350,"(16194, 16158)"
1351,"(16194, 16194)"
1352,"(16124, 16124)"
1353,"(46558, 46558)"
1354,"(46564, 46564)"
1355,"(57278, 57466)"
1356,"(57278, 57466)"
1357,"(25681, 25681)"
1358,"(34594, 34594)"
1359,"(25011, 25011)"
1360,"(2822, 2610)"
1361,"(2759, 2460)"
1362,"(2759, 2336)"
1363,"(48979, 49143)"
1364,"(49168, 49130)"
1365,"(49168, 49348)"
1366,"(49380, 49095)"
1367,"(49380, 49348)"
1368,"(49380, 49430)"
1369,"(49152, 49231)"
1370,"(49348, 49453)"
1371,"(49408, 49309)"
1372,"(49408, 49227)"
1373,"(30936, 30936)"
1374,"(72694, 72694)"
1375,"(32338, 32269)"
1376,"(32338, 32539)"
1377,"(32539, 32417)"
1378,"(2478, 2711)"
1379,"(2478, 2711)"
1380,"(53458, 53458)"
1381,"(53385, 53385)"
1382,"(1462, 1211)"
1383,"(1462, 1211)"
1384,"(1462, 1218)"
1385,"(1462, 1685)"
1386,"(1218, 1128)"
1387,"(35305, 35320)"
1388,"(41271, 41271)"
1389,"(72648, 72551)"
1390,"(72648, 72534)"
1391,"(72648, 72470)"
1392,"(72648, 72470)"
1393,"(72648, 72677)"
1394,"(72555, 72561)"
1395,"(72534, 72489)"
1396,"(72470, 72713)"
1397,"(11628, 11628)"
1398,"(6078, 6078)"
1399,"(57294, 57294)"
1400,"(77977, 77977)"
1401,"(79506, 80079)"
1402,"(79506, 79563)"
1403,"(79506, 79575)"
1404,"(79525, 80046)"
1405,"(29695, 29615)"
1406,"(29695, 29727)"
1407,"(33368, 33368)"
1408,"(1007, 1007)"
1409,"(29261, 28931)"
1410,"(28955, 28950)"
1411,"(28955, 29213)"
1412,"(29213, 29119)"
1413,"(29213, 29213)"
1414,"(29119, 29397)"
1415,"(29351, 29093)"
1416,"(29351, 29230)"
1417,"(29351, 29342)"
1418,"(29397, 29495)"
1419,"(29472, 29342)"
1420,"(29342, 29436)"
1421,"(50724, 50155)"
1422,"(50148, 50118)"
1423,"(50148, 50504)"
1424,"(50583, 50292)"
1425,"(50583, 50436)"
1426,"(50077, 50039)"
1427,"(50077, 50397)"
1428,"(50039, 50436)"
1429,"(50039, 50443)"
1430,"(50397, 50730)"
1431,"(50451, 50451)"
1432,"(23169, 23169)"
1433,"(3388, 3030)"
1434,"(3388, 3316)"
1435,"(3388, 3259)"
1436,"(3259, 3239)"
1437,"(43269, 43237)"
1438,"(42754, 43253)"
1439,"(42754, 42928)"
1440,"(42754, 43032)"
1441,"(42928, 43032)"
1442,"(25461, 25604)"
1443,"(10068, 9979)"
1444,"(10068, 9979)"
1445,"(9979, 9977)"
1446,"(9979, 10004)"
1447,"(10004, 9853)"
1448,"(58471, 58471)"
1449,"(72059, 72059)"
1450,"(33213, 33213)"
1451,"(72153, 72153)"
1452,"(63605, 63605)"
1453,"(36443, 36443)"
1454,"(36170, 36193)"
1455,"(27148, 27148)"
1456,"(12990, 12990)"
1457,"(78795, 78795)"
1458,"(34270, 34401)"
1459,"(34300, 34300)"
1460,"(48841, 48841)"
1461,"(24319, 24319)"
1462,"(23361, 23361)"
1463,"(73725, 73725)"
1464,"(21905, 21905)"
1465,"(12353, 12353)"
1466,"(2128, 2128)"
1467,"(57003, 56804)"
1468,"(57003, 56455)"
1469,"(56572, 56560)"
1470,"(56576, 56510)"
1471,"(56569, 56944)"
1472,"(4516, 4516)"
1473,"(10175, 10175)"
1474,"(31942, 31942)"
1475,"(31942, 32179)"
1476,"(32109, 32099)"
1477,"(32109, 32179)"
1478,"(51010, 51010)"
1479,"(51264, 51264)"
1480,"(57984, 57724)"
1481,"(40151, 40300)"
1482,"(35516, 35516)"
1483,"(907, 907)"
1484,"(37340, 37340)"
1485,"(35437, 35437)"
1486,"(44604, 44604)"
1487,"(44022, 44022)"
1488,"(2218, 2218)"
1489,"(46599, 46599)"
1490,"(56720, 57062)"
1491,"(56720, 56609)"
1492,"(57049, 57049)"
1493,"(57049, 56330)"
1494,"(69044, 69044)"
1495,"(22352, 22352)"
1496,"(60405, 60244)"
1497,"(60405, 60405)"
1498,"(27809, 28320)"
1499,"(62566, 62566)"
1500,"(938, 938)"
1501,"(18874, 18806)"
1502,"(62573, 62573)"
1503,"(18610, 18610)"
1504,"(62329, 62482)"
1505,"(62329, 62329)"
1506,"(6341, 6341)"
1507,"(23149, 23149)"
1508,"(71064, 71056)"
1509,"(52210, 52210)"
1510,"(43461, 43461)"
1511,"(3283, 3283)"
1512,"(21795, 21795)"
1513,"(7975, 8117)"
1514,"(74056, 74108)"
1515,"(73978, 73978)"
1516,"(72339, 72377)"
1517,"(76252, 76252)"
1518,"(79177, 79367)"
1519,"(70227, 70225)"
1520,"(59376, 59376)"
1521,"(59376, 58748)"
1522,"(44383, 44383)"
1523,"(8062, 7961)"
1524,"(8062, 8062)"
1525,"(7951, 8048)"
1526,"(49736, 49736)"
1527,"(14707, 14775)"
1528,"(14627, 14627)"
1529,"(14627, 14817)"
1530,"(68792, 68834)"
1531,"(35422, 35405)"
1532,"(41678, 41801)"
1533,"(41678, 41678)"
1534,"(11470, 11470)"
1535,"(66247, 66247)"
1536,"(18782, 18782)"
1537,"(22512, 22512)"
1538,"(22512, 22050)"
1539,"(39747, 39747)"
1540,"(25576, 25439)"
1541,"(25576, 25346)"
1542,"(39980, 39283)"
1543,"(57198, 56808)"
1544,"(72690, 72717)"
1545,"(44799, 44799)"
1546,"(34352, 34352)"
1547,"(11487, 11260)"
1548,"(18885, 18885)"
1549,"(7934, 8076)"
1550,"(4715, 4715)"
1551,"(39887, 39887)"
1552,"(8044, 7990)"
1553,"(8044, 8005)"
1554,"(7990, 8005)"
1555,"(18878, 18878)"
1556,"(8945, 9007)"
1557,"(8945, 9132)"
1558,"(37597, 37597)"
1559,"(22559, 22559)"
1560,"(22749, 22660)"
1561,"(22660, 22750)"
1562,"(22750, 22690)"
1563,"(22494, 22494)"
1564,"(52707, 52707)"
1565,"(52726, 52451)"
1566,"(52726, 52841)"
1567,"(73398, 73398)"
1568,"(45440, 45440)"
1569,"(22831, 22571)"
1570,"(22831, 22591)"
1571,"(22831, 22759)"
1572,"(22791, 22791)"
1573,"(29175, 29175)"
1574,"(7402, 7357)"
1575,"(57714, 58154)"
1576,"(7816, 7816)"
1577,"(51452, 51452)"
1578,"(9964, 9964)"
1579,"(9987, 9987)"
1580,"(14867, 14867)"
1581,"(14867, 14651)"
1582,"(57350, 57350)"
1583,"(55076, 55076)"
1584,"(54943, 54943)"
1585,"(54800, 54800)"
1586,"(69428, 69428)"
1587,"(48506, 48506)"
1588,"(7750, 7750)"
1589,"(45050, 45050)"
1590,"(45085, 45085)"
1591,"(46343, 46343)"
1592,"(73813, 73813)"
1593,"(79979, 79561)"
1594,"(79979, 79979)"
1595,"(57461, 57461)"
1596,"(69027, 68854)"
1597,"(69027, 69027)"
1598,"(34887, 34887)"
1599,"(3063, 3063)"
1600,"(3454, 3454)"
1601,"(34151, 34151)"
1602,"(66532, 66532)"
1603,"(62184, 62184)"
1604,"(19230, 19230)"
1605,"(1800, 1800)"
1606,"(2894, 2894)"
1607,"(52094, 52182)"
1608,"(14784, 14784)"
1609,"(22369, 22369)"
1610,"(1820, 1820)"
1611,"(19437, 19437)"
1612,"(20555, 20425)"
1613,"(20555, 20425)"
1614,"(41864, 41864)"
1615,"(20191, 20191)"
1616,"(32383, 32383)"
1617,"(14789, 14789)"
1618,"(11623, 11623)"
1619,"(77240, 77828)"
1620,"(45688, 45688)"
1621,"(70468, 70324)"
1622,"(70344, 70253)"
1623,"(70253, 70438)"
1624,"(8438, 8194)"
1625,"(34281, 34281)"
1626,"(61596, 61596)"
1627,"(61578, 61477)"
1628,"(61578, 61578)"
1629,"(73907, 73832)"
1630,"(11122, 11122)"
1631,"(62597, 62597)"
1632,"(72043, 72043)"
1633,"(14197, 14197)"
1634,"(20273, 20273)"
1635,"(77752, 77752)"
1636,"(8434, 8184)"
1637,"(8158, 8185)"
1638,"(8158, 8339)"
1639,"(8482, 8482)"
1640,"(42233, 42233)"
1641,"(42346, 42346)"
1642,"(42346, 42440)"
1643,"(20569, 20569)"
1644,"(55290, 54926)"
1645,"(20277, 20277)"
1646,"(10964, 10896)"
1647,"(10864, 10864)"
1648,"(77499, 77745)"
1649,"(77499, 77499)"
1650,"(77745, 77408)"
1651,"(27576, 27576)"
1652,"(38978, 38448)"
1653,"(38842, 38317)"
1654,"(39196, 39194)"
1655,"(39196, 39232)"
1656,"(39196, 39234)"
1657,"(39194, 38997)"
1658,"(39234, 39147)"
1659,"(39068, 39068)"
1660,"(39031, 38567)"
1661,"(2327, 2327)"
1662,"(61587, 61587)"
1663,"(75133, 75133)"
1664,"(75133, 75141)"
1665,"(79345, 79345)"
1666,"(57211, 57211)"
1667,"(57514, 57514)"
1668,"(42402, 42239)"
1669,"(42257, 42257)"
1670,"(25633, 25633)"
1671,"(11327, 11658)"
1672,"(11327, 11163)"
1673,"(27936, 27936)"
1674,"(50844, 50844)"
1675,"(26411, 26411)"
1676,"(26411, 26206)"
1677,"(57358, 57358)"
1678,"(22984, 22872)"
1679,"(22984, 22984)"
1680,"(34599, 34748)"
1681,"(34599, 34885)"
1682,"(34576, 34760)"
1683,"(34576, 34824)"
1684,"(61753, 61753)"
1685,"(53106, 53106)"
1686,"(20487, 20503)"
1687,"(20487, 20456)"
1688,"(66743, 66885)"
1689,"(21629, 21629)"
1690,"(50681, 50681)"
1691,"(50681, 50609)"
1692,"(22235, 22235)"
1693,"(22126, 22126)"
1694,"(45143, 45143)"
1695,"(21682, 21790)"
1696,"(21682, 21682)"
1697,"(6162, 6447)"
1698,"(6162, 6383)"
1699,"(6162, 6391)"
1700,"(6447, 6331)"
1701,"(6383, 6413)"
1702,"(6413, 6310)"
1703,"(6481, 6410)"
1704,"(36698, 36698)"
1705,"(48773, 48598)"
1706,"(48773, 48568)"
1707,"(48598, 48407)"
1708,"(48568, 48568)"
1709,"(5365, 5181)"
1710,"(5365, 5358)"
1711,"(5358, 5322)"
1712,"(5322, 5401)"
1713,"(26689, 26895)"
1714,"(26689, 26839)"
1715,"(26895, 26489)"
1716,"(26895, 26609)"
1717,"(26839, 26630)"
1718,"(26507, 26507)"
1719,"(26507, 26702)"
1720,"(10681, 10331)"
1721,"(16933, 16998)"
1722,"(16933, 16830)"
1723,"(16933, 16830)"
1724,"(17248, 17248)"
1725,"(23786, 23929)"
1726,"(23786, 23929)"
1727,"(23929, 23747)"
1728,"(17785, 17603)"
1729,"(17785, 17785)"
1730,"(77140, 77314)"
1731,"(77140, 77221)"
1732,"(21452, 21452)"
1733,"(47218, 47169)"
1734,"(34303, 34207)"
1735,"(12255, 12255)"
1736,"(10301, 10301)"
1737,"(69805, 69752)"
1738,"(69752, 69368)"
1739,"(38999, 38516)"
1740,"(63530, 63530)"
1741,"(47083, 47083)"
1742,"(43373, 43373)"
1743,"(44010, 44010)"
1744,"(44005, 44005)"
1745,"(43962, 43775)"
1746,"(43962, 43962)"
1747,"(73114, 73044)"
1748,"(33408, 33687)"
1749,"(76574, 76574)"
1750,"(17920, 17920)"
1751,"(45724, 45724)"
1752,"(26409, 26409)"
1753,"(1206, 1767)"
1754,"(1206, 1206)"
1755,"(1704, 1349)"
1756,"(1704, 1504)"
1757,"(1349, 1275)"
1758,"(1349, 1269)"
1759,"(1349, 1283)"
1760,"(1480, 1631)"
1761,"(1504, 1543)"
1762,"(6630, 6628)"
1763,"(6630, 6677)"
1764,"(6677, 6502)"
1765,"(6620, 6805)"
1766,"(3257, 3257)"
1767,"(37186, 37152)"
1768,"(13024, 13024)"
1769,"(32183, 32183)"
1770,"(64070, 63939)"
1771,"(64070, 64070)"
1772,"(45641, 45675)"
1773,"(21731, 21731)"
1774,"(48358, 48358)"
1775,"(48182, 48182)"
1776,"(48387, 48387)"
1777,"(63197, 63420)"
1778,"(63420, 63105)"
1779,"(63420, 63232)"
1780,"(63235, 63150)"
1781,"(63235, 63278)"
1782,"(63235, 63215)"
1783,"(63235, 63224)"
1784,"(37050, 37050)"
1785,"(37213, 37017)"
1786,"(37213, 37226)"
1787,"(37043, 36951)"
1788,"(37043, 37226)"
1789,"(27559, 27559)"
1790,"(61102, 61102)"
1791,"(5588, 5942)"
1792,"(5588, 5851)"
1793,"(5691, 5851)"
1794,"(5866, 5866)"
1795,"(1272, 1272)"
1796,"(20311, 20311)"
1797,"(59215, 59215)"
1798,"(59215, 59352)"
1799,"(59352, 59142)"
1800,"(61532, 61532)"
1801,"(16242, 16242)"
1802,"(19408, 19408)"
1803,"(20606, 20606)"
1804,"(20587, 20587)"
1805,"(24659, 24547)"
1806,"(24659, 24657)"
1807,"(24547, 24593)"
1808,"(74100, 73999)"
1809,"(74100, 73999)"
1810,"(73982, 73982)"
1811,"(67773, 67773)"
1812,"(26337, 26337)"
1813,"(64572, 64753)"
1814,"(64572, 64382)"
1815,"(64382, 64382)"
1816,"(64451, 64431)"
1817,"(42567, 42567)"
1818,"(20333, 20333)"
1819,"(69612, 69464)"
1820,"(69612, 69353)"
1821,"(20189, 20189)"
1822,"(22291, 22291)"
1823,"(46906, 46906)"
1824,"(15835, 15835)"
1825,"(2159, 2159)"
1826,"(3567, 3567)"
1827,"(3567, 3025)"
1828,"(3407, 3407)"
1829,"(3084, 3498)"
1830,"(3084, 3410)"
1831,"(20257, 20257)"
1832,"(33338, 33457)"
1833,"(33338, 33338)"
1834,"(71813, 71813)"
1835,"(56683, 56683)"
1836,"(19327, 19327)"
1837,"(79985, 79985)"
1838,"(85, 85)"
1839,"(13892, 13892)"
1840,"(45826, 45826)"
1841,"(15017, 15189)"
1842,"(17731, 17800)"
1843,"(17800, 17509)"
1844,"(26803, 26803)"
1845,"(26803, 26810)"
1846,"(26810, 26587)"
1847,"(39154, 38437)"
1848,"(38796, 38381)"
1849,"(27974, 27974)"
1850,"(12012, 11961)"
1851,"(12012, 11961)"
1852,"(43496, 43496)"
1853,"(67406, 67406)"
1854,"(562, 562)"
1855,"(44496, 44651)"
1856,"(44496, 44663)"
1857,"(26858, 26772)"
1858,"(58839, 58992)"
1859,"(59341, 59341)"
1860,"(75232, 75232)"
1861,"(79005, 79005)"
1862,"(67267, 67267)"
1863,"(26610, 26561)"
1864,"(26610, 26510)"
1865,"(45874, 45866)"
1866,"(45874, 45874)"
1867,"(71937, 71937)"
1868,"(18491, 18491)"
1869,"(18491, 18363)"
1870,"(49964, 49964)"
1871,"(20420, 20420)"
1872,"(20393, 20393)"
1873,"(71765, 71765)"
1874,"(71765, 71562)"
1875,"(79905, 79495)"
1876,"(79905, 79699)"
1877,"(79905, 79943)"
1878,"(47250, 47250)"
1879,"(53261, 53256)"
1880,"(70177, 70177)"
1881,"(12637, 12620)"
1882,"(24305, 24305)"
1883,"(61250, 60719)"
1884,"(61250, 61079)"
1885,"(68104, 68104)"
1886,"(68058, 68058)"
1887,"(3294, 3309)"
1888,"(61281, 61281)"
1889,"(45849, 45849)"
1890,"(42504, 42504)"
1891,"(24282, 24282)"
1892,"(79866, 79735)"
1893,"(79866, 79866)"
1894,"(75317, 75317)"
1895,"(26613, 26512)"
1896,"(60813, 60813)"
1897,"(55587, 55587)"
1898,"(51129, 51411)"
1899,"(51129, 51129)"
1900,"(20307, 20255)"
1901,"(20307, 20255)"
1902,"(20194, 20194)"
1903,"(20347, 20347)"
1904,"(20337, 20337)"
1905,"(69246, 69246)"
1906,"(12394, 12394)"
1907,"(49843, 49843)"
1908,"(2012, 2012)"
1909,"(27573, 27573)"
1910,"(35088, 35088)"
1911,"(34931, 34931)"
1912,"(34958, 34958)"
1913,"(74862, 74992)"
1914,"(74862, 74992)"
1915,"(73893, 73893)"
1916,"(38547, 38547)"
1917,"(69280, 69280)"
1918,"(61844, 61844)"
1919,"(16937, 16937)"
1920,"(8792, 8792)"
1921,"(55182, 55182)"
1922,"(73113, 73113)"
1923,"(73113, 72822)"
1924,"(73057, 73057)"
1925,"(57147, 57147)"
1926,"(57176, 57176)"
1927,"(57019, 57167)"
1928,"(57167, 56889)"
1929,"(23613, 23613)"
1930,"(23613, 23579)"
1931,"(55158, 55158)"
1932,"(59175, 59322)"
1933,"(65726, 65726)"
1934,"(65891, 65891)"
1935,"(3100, 3011)"
1936,"(2896, 3113)"
1937,"(2896, 2895)"
1938,"(2896, 3382)"
1939,"(33401, 33401)"
1940,"(33777, 33777)"
1941,"(57357, 57385)"
1942,"(58728, 58728)"
1943,"(70215, 70215)"
1944,"(47690, 47751)"
1945,"(47671, 47671)"
1946,"(1046, 976)"
1947,"(1046, 976)"
1948,"(37939, 38179)"
1949,"(37939, 37939)"
1950,"(64744, 64744)"
1951,"(12316, 12316)"
1952,"(22074, 22074)"
1953,"(50815, 50815)"
1954,"(38134, 38134)"
1955,"(38134, 37972)"
1956,"(66362, 66146)"
1957,"(11416, 11416)"
1958,"(57078, 56604)"
1959,"(38184, 38184)"
1960,"(17229, 16749)"
1961,"(17229, 16844)"
1962,"(17100, 17309)"
1963,"(17100, 17253)"
1964,"(17100, 17347)"
1965,"(17309, 16901)"
1966,"(16901, 17366)"
1967,"(695, 579)"
1968,"(695, 644)"
1969,"(566, 670)"
1970,"(617, 647)"
1971,"(617, 588)"
1972,"(617, 711)"
1973,"(71861, 71857)"
1974,"(71861, 71861)"
1975,"(71857, 72268)"
1976,"(21421, 21421)"
1977,"(22039, 22039)"
1978,"(21358, 21358)"
1979,"(21256, 21256)"
1980,"(75819, 75635)"
1981,"(7278, 7278)"
1982,"(62499, 62499)"
1983,"(62464, 62464)"
1984,"(62379, 62379)"
1985,"(62293, 62293)"
1986,"(50093, 50093)"
1987,"(11550, 11550)"
1988,"(28457, 28457)"
1989,"(72840, 72840)"
1990,"(73116, 73116)"
1991,"(73116, 72976)"
1992,"(60881, 60881)"
1993,"(54153, 54153)"
1994,"(45101, 45101)"
1995,"(45101, 44986)"
1996,"(43361, 43361)"
1997,"(9604, 9413)"
1998,"(9604, 9413)"
1999,"(74621, 74621)"
2000,"(76689, 76756)"
2001,"(76689, 76756)"
2002,"(44258, 44258)"
2003,"(27793, 27701)"
2004,"(78549, 78564)"
2005,"(78701, 78701)"
2006,"(40320, 40481)"
2007,"(40320, 40296)"
2008,"(40481, 40212)"
2009,"(40212, 40501)"
2010,"(40501, 40296)"
2011,"(14512, 14512)"
2012,"(50889, 50889)"
2013,"(3340, 3340)"
2014,"(23793, 23780)"
2015,"(23793, 23947)"
2016,"(23947, 23947)"
2017,"(53461, 53461)"
2018,"(43784, 43679)"
2019,"(17022, 17022)"
2020,"(15332, 15332)"
2021,"(54658, 54658)"
2022,"(53628, 53714)"
2023,"(53995, 53661)"
2024,"(13628, 13494)"
2025,"(13628, 13494)"
2026,"(13787, 13787)"
2027,"(13787, 13532)"
2028,"(77924, 77680)"
2029,"(77680, 77624)"
2030,"(52509, 52509)"
2031,"(42192, 42458)"
2032,"(42430, 42430)"
2033,"(71863, 71863)"
2034,"(73135, 73135)"
2035,"(15384, 15384)"
2036,"(22390, 22131)"
2037,"(44089, 44454)"
2038,"(32479, 32275)"
2039,"(32275, 32547)"
2040,"(31741, 31741)"
2041,"(27679, 27679)"
2042,"(67203, 67203)"
2043,"(60721, 60721)"
2044,"(21995, 21995)"
2045,"(38334, 38460)"
2046,"(60333, 60333)"
2047,"(168, 234)"
2048,"(168, 168)"
2049,"(49196, 49196)"
2050,"(44223, 44223)"
2051,"(50932, 51142)"
2052,"(50932, 50924)"
2053,"(50924, 51181)"
2054,"(10308, 10308)"
2055,"(57414, 57414)"
2056,"(15387, 15387)"
2057,"(73983, 73983)"
2058,"(44057, 44057)"
2059,"(36732, 36732)"
2060,"(57329, 57329)"
2061,"(17080, 17080)"
2062,"(70158, 70158)"
2063,"(29092, 29092)"
2064,"(41802, 41802)"
2065,"(31635, 31635)"
2066,"(59832, 59830)"
2067,"(59832, 59832)"
2068,"(70186, 70186)"
2069,"(27696, 27717)"
2070,"(29748, 29679)"
2071,"(29748, 29701)"
2072,"(29933, 29633)"
