,timestep,case_id,attitude,pbc,subnorms
0,1,51874,0.30910000000000004,-0.6666666666666666,0.25
1,1,52627,0.0,-0.5,0.25
2,1,51874,0.28549712400000005,-0.6666666666666666,0.25
3,1,38324,0.0625,-0.1666666666666666,0.25
4,1,51874,0.2621148585865692,-0.6666666666666666,0.25
5,1,53252,0.8125,-0.3333333333333333,1.0
6,1,53252,0.8125,-0.3333333333333333,1.0
7,1,43073,0.0625,-0.3333333333333333,0.0
8,1,53252,0.8125,-0.3333333333333333,1.0
9,1,11429,0.625,-0.1666666666666666,0.5
10,1,7543,0.475,-0.3333333333333333,1.0
11,1,63857,0.1875,0.0,0.0
12,1,7543,0.4581923076923077,-0.3333333333333333,1.0
13,1,50494,0.1875,-0.3333333333333333,0.0
14,1,7543,0.4401273602184797,-0.3333333333333333,1.0
15,1,42619,0.3125,-0.3333333333333333,0.25
16,1,69904,0.1625,-0.1666666666666666,0.5
17,1,69904,0.1625,-0.1666666666666666,0.5
18,1,69904,0.1625,-0.1666666666666666,0.5
19,1,9780,0.25,-0.1666666666666666,0.5
20,1,69904,0.18,-0.1666666666666666,0.5
21,1,5486,0.125,-0.1666666666666666,0.5
22,1,69904,0.17038285714285714,-0.1666666666666666,0.5
23,1,33612,0.625,0.0,0.75
24,1,9811,0.325,-0.3333333333333333,0.0
25,1,9811,0.325,-0.3333333333333333,0.0
26,1,9811,0.325,-0.3333333333333333,0.0
27,1,21761,0.5,-0.3333333333333333,0.25
28,1,9811,0.36,-0.3333333333333333,0.0
29,1,26228,0.375,-0.3333333333333333,0.0
30,1,9811,0.363,-0.3333333333333333,0.0
31,1,20091,0.375,-0.3333333333333333,0.25
32,1,9811,0.3654,-0.3333333333333333,0.0
33,1,65553,0.25,-0.3333333333333333,0.25
34,1,9811,0.3494224853333333,-0.3333333333333333,0.0
35,1,80031,0.0,-0.5,0.25
36,1,60302,0.6875,0.0,0.0
37,1,60302,0.6875,0.0,0.0
38,1,60302,0.6875,0.0,0.0
39,1,58563,0.125,-0.6666666666666666,0.0
40,1,60302,0.6875,0.0,0.0
41,1,31867,-0.0625,0.0,0.25
42,1,60302,0.6875,0.0,0.0
