,timestep,case_id,attitude,subnorms,pbc,adoption_status,geoid
104,3,45565,0.125,0.5,-0.8333333333333334,0,360010005022000
105,3,73606,0.0,0.0,1,0,360010021003000
106,3,63099,0.4375,0.75,-0.8333333333333334,0,360010137052014
107,3,31390,-0.75,0.5,1,0,360010018024005
108,3,19130,0.0,0.25,1,0,360010002001030
109,3,45605,0.9375,0.5,1,0,360010005022019
110,3,75888,-0.3125,0.5,1,0,360010139022010
111,3,14078,-0.25,0.0,1,0,360010140011009
112,3,56130,0.1875,0.5,1,0,360010135052000
113,3,78278,0.6875,0.5,1,0,360010146141000
114,3,35066,-0.0625,0.75,1,0,360010004032000
115,3,13519,-0.4375,0.0,1,0,360010139023000
116,3,13055,0.4375,0.75,1,0,360010139021015
117,3,54169,0.8125,0.75,1,0,360010141004003
118,3,38164,1.0,0.5,1,0,360010145031015
119,3,22961,0.4375,0.0,1,0,360010142024013
120,3,39225,0.0625,0.25,1,0,360010137071009
121,3,20849,0.0,0.5,1,0,360010022001002
122,3,34665,0.8125,-1.0,1,0,360010004034012
123,3,25508,0.3125,0.0,1,0,360010019022013
124,3,53642,0.75,0.75,1,0,360010138023005
125,3,72534,0.5,0.5,1,0,360010020001004
126,3,25604,-0.125,0.5,1,0,360010019022012
127,3,5685,0.5,0.75,1,0,360010138021012
128,3,68356,0.1875,1.0,1,0,360010141003000
129,3,72339,0.1875,1.0,1,0,360010020003004
130,3,41801,0.8125,0.25,1,0,360010148012037
131,3,79345,0.25,0.0,1,0,360010146142017
132,3,6481,-0.39375,0.5,1,0,360010146112000
133,3,6383,0.60625,0.25,-0.8333333333333334,0,360010146112000
134,3,69805,0.75,-0.5,-0.8333333333333334,0,360010018012016
135,3,59215,0.125,-0.5,1,0,360010146063039
136,3,67773,0.1875,0.0,1,0,360010137061011
137,3,68058,0.0,0.0,1,0,360010137061012
138,3,27573,0.25,0.0,1,0,360010129001019
139,3,77924,0.3125,0.5,1,0,360010135082021
140,3,31635,0.625,1.0,1,0,360010018023001
141,3,59832,0.625,0.75,1,0,360010135081019
142,3,40688,0.25,1.0,1,0,360010146121026
143,3,28751,0.0,0.25,1,0,360010026004024
144,3,76090,0.1875,0.5,1,0,360010142032006
145,3,47998,0.25,0.75,1,0,360010130003015
146,3,10901,0.75,0.0,1,0,360010146091001
147,3,58440,0.125,0.5,1,0,360010148011092
148,3,52320,0.125,1.0,1,0,360010135083017
149,3,65655,-0.0625,0.5,1,0,360010142021013
150,4,7093,-0.3125,0.0,1,0,360010003003028
151,4,18854,0.0,0.0,1,0,360010002003000
152,4,67886,0.625,0.25,1,0,360010137061001
153,4,7162,0.3125,0.5,1,0,360010003003023
154,4,45565,0.125,0.5,-0.8333333333333334,0,360010005022000
155,4,73606,0.0,0.0,1,0,360010021003000
156,4,63099,0.4375,0.75,-0.8333333333333334,0,360010137052014
157,4,31390,-0.75,0.5,1,0,360010018024005
158,4,19130,0.0,0.25,1,0,360010002001030
159,4,45605,0.9375,0.5,1,0,360010005022019
160,4,75888,-0.3125,0.5,1,0,360010139022010
161,4,14078,-0.25,0.0,1,0,360010140011009
162,4,56130,0.1875,0.5,1,0,360010135052000
163,4,78278,0.6875,0.5,1,0,360010146141000
164,4,35066,-0.0625,0.75,1,0,360010004032000
165,4,13519,-0.4375,0.0,1,0,360010139023000
166,4,13055,0.4375,0.75,1,0,360010139021015
167,4,54169,0.8125,0.75,1,0,360010141004003
168,4,38164,1.0,0.5,1,0,360010145031015
169,4,22961,0.4375,0.0,1,0,360010142024013
170,4,39225,0.0625,0.25,1,0,360010137071009
171,4,20849,0.0,0.5,1,0,360010022001002
172,4,34665,0.8125,-1.0,1,0,360010004034012
173,4,25508,0.3125,0.0,1,0,360010019022013
174,4,53642,0.75,0.75,1,0,360010138023005
175,4,72534,0.5,0.5,1,0,360010020001004
176,4,25604,-0.125,0.5,1,0,360010019022012
177,4,5685,0.5,0.75,1,0,360010138021012
178,4,68356,0.1875,1.0,1,0,360010141003000
179,4,72339,0.1875,1.0,1,0,360010020003004
180,4,41801,0.8125,0.25,1,0,360010148012037
181,4,79345,0.25,0.0,1,0,360010146142017
182,4,6481,-0.39375,0.5,1,0,360010146112000
183,4,6383,0.60625,0.25,-0.8333333333333334,0,360010146112000
184,4,69805,0.75,-0.5,-0.8333333333333334,0,360010018012016
185,4,59215,0.125,-0.5,1,0,360010146063039
