CASE_ID,age,income,household_
000033813,65plus,75to100k,0
000033830,25to44,100to150k,0
000033837,25to44,100to150k,0
000033856,25to44,150kplus,0
000033870,45to54,75to100k,0
000033881,45to54,150kplus,0
000033893,65plus,less75k,0
000033897,65plus,less75k,0
000033907,65plus,100to150k,0
000033909,65plus,100to150k,0
000033929,65plus,150kplus,0
000033933,65plus,150kplus,0
000033939,25to44,100to150k,1
000033943,25to44,100to150k,1
000033972,45to54,100to150k,1
000033975,45to54,150kplus,1
000033976,55to64,less75k,1
000033984,65plus,less75k,1
000033990,65plus,100to150k,1
000034001,65plus,100to150k,1
000034008,65plus,150kplus,1
000034058,45to54,less75k,1
000038267,45to54,less75k,1
000005152,25to44,less75k,0
000005200,45to54,150kplus,0
000005229,65plus,less75k,0
000005243,65plus,100to150k,0
000005282,45to54,150kplus,0
000005308,65plus,100to150k,0
000005313,65plus,150kplus,0
000005316,25to44,less75k,1
000005332,45to54,less75k,1
000005356,55to64,less75k,1
000005378,65plus,100to150k,1
000005394,25to44,100to150k,1
000005418,45to54,150kplus,1
000005424,55to64,100to150k,1
000005438,65plus,100to150k,1
000005445,25to44,less75k,1
000005465,45to54,150kplus,1
000005467,45to54,150kplus,1
000005483,65plus,75to100k,1
000005486,65plus,100to150k,1
000005488,65plus,150kplus,1
000030241,55to64,75to100k,0
000030295,65plus,75to100k,0
000030389,25to44,100to150k,0
000030402,25to44,100to150k,0
000030410,25to44,150kplus,0
000030417,25to44,150kplus,0
000030420,45to54,less75k,0
000030428,45to54,less75k,0
000030459,45to54,100to150k,0
000030477,55to64,less75k,0
000030521,65plus,less75k,0
000030547,65plus,less75k,0
000030579,65plus,150kplus,0
000030580,65plus,150kplus,0
000030583,65plus,150kplus,0
000030617,45to54,less75k,1
000030651,65plus,75to100k,1
000030659,65plus,150kplus,1
000030696,55to64,less75k,1
000030708,65plus,less75k,1
000030637,55to64,100to150k,1
000005252,65plus,150kplus,0
000005454,25to44,150kplus,1
000005464,45to54,100to150k,1
000005284,45to54,150kplus,0
000005333,45to54,less75k,1
000030214,55to64,less75k,0
000030262,65plus,less75k,0
000030345,25to44,less75k,0
000030415,25to44,150kplus,0
000030427,45to54,less75k,0
000030508,55to64,100to150k,0
000030526,65plus,less75k,0
000030628,55to64,less75k,1
000030640,55to64,150kplus,1
000030678,25to44,150kplus,1
000030679,25to44,150kplus,1
000005162,25to44,100to150k,0
000005187,45to54,75to100k,0
000005256,25to44,less75k,0
000005260,25to44,75to100k,0
000005314,25to44,less75k,1
000005352,45to54,150kplus,1
000005396,25to44,150kplus,1
000042730,45to54,less75k,0
000042935,45to54,less75k,0
000042942,45to54,less75k,0
000042986,45to54,100to150k,0
000043027,55to64,100to150k,0
000043223,25to44,100to150k,1
000043251,55to64,100to150k,1
000043254,65plus,less75k,1
000005184,45to54,75to100k,0
000005193,45to54,100to150k,0
000005203,45to54,150kplus,0
000005220,55to64,150kplus,0
000005261,25to44,75to100k,0
000005278,45to54,100to150k,0
000005312,65plus,150kplus,0
000005324,25to44,100to150k,1
000005334,45to54,less75k,1
000005363,55to64,150kplus,1
000005381,65plus,100to150k,1
000005392,25to44,75to100k,1
000005397,25to44,150kplus,1
000005417,45to54,150kplus,1
000005148,25to44,less75k,0
000005435,65plus,75to100k,1
000042697,25to44,75to100k,0
000042708,25to44,100to150k,0
000042713,25to44,100to150k,0
000042762,45to54,100to150k,0
000042776,55to64,less75k,0
000042825,65plus,less75k,0
000042829,65plus,less75k,0
000042870,65plus,100to150k,0
000042899,25to44,less75k,0
000042910,25to44,75to100k,0
000042923,25to44,100to150k,0
000042929,25to44,100to150k,0
000043021,55to64,75to100k,0
000043029,55to64,100to150k,0
000043083,65plus,75to100k,0
000043102,65plus,100to150k,0
000043117,25to44,less75k,1
000043139,45to54,less75k,1
000043165,55to64,less75k,1
000043218,25to44,less75k,1
000043255,65plus,less75k,1
000043257,65plus,less75k,1
000043273,25to44,100to150k,1
000043287,55to64,75to100k,1
000043292,65plus,less75k,1
000043302,25to44,75to100k,1
000042692,25to44,less75k,0
000042732,45to54,less75k,0
000042933,25to44,150kplus,0
000043116,25to44,less75k,1
000043211,65plus,100to150k,1
000043244,55to64,less75k,1
000043284,55to64,less75k,1
000030237,55to64,75to100k,0
000022381,45to54,100to150k,1
000042687,25to44,less75k,0
000042699,25to44,75to100k,0
000042768,45to54,100to150k,0
000042784,55to64,less75k,0
000042846,65plus,less75k,0
000042952,45to54,less75k,0
000043012,55to64,less75k,0
000043119,25to44,less75k,1
000043145,45to54,less75k,1
000043219,25to44,less75k,1
000043278,45to54,75to100k,1
000030272,65plus,less75k,0
000030588,25to44,less75k,1
000030661,25to44,less75k,1
000056708,25to44,100to150k,1
000056892,25to44,75to100k,1
000056976,45to54,150kplus,1
000057127,55to64,less75k,1
000057154,65plus,75to100k,1
000016700,25to44,less75k,0
000016744,45to54,100to150k,0
000016748,45to54,100to150k,0
000016781,55to64,75to100k,0
000016801,55to64,150kplus,0
000016832,65plus,75to100k,0
000016919,45to54,less75k,0
000016929,45to54,75to100k,0
000017016,55to64,75to100k,0
000017070,55to64,150kplus,0
000017072,65plus,less75k,0
000017078,65plus,less75k,0
000017081,65plus,less75k,0
000017086,65plus,less75k,0
000017114,65plus,100to150k,0
000017117,65plus,100to150k,0
000017130,65plus,100to150k,0
000017132,65plus,100to150k,0
000017166,25to44,less75k,1
000017174,25to44,100to150k,1
000017195,45to54,100to150k,1
000017219,55to64,100to150k,1
000017243,65plus,75to100k,1
000017265,25to44,less75k,1
000017278,25to44,100to150k,1
000017303,45to54,75to100k,1
000017363,55to64,100to150k,1
000017395,65plus,less75k,1
000017408,65plus,75to100k,1
000017415,65plus,75to100k,1
000074803,25to44,less75k,0
000074830,45to54,150kplus,0
000074877,25to44,less75k,0
000074904,45to54,less75k,0
000074908,45to54,less75k,0
000074918,45to54,less75k,0
000074919,45to54,less75k,0
000074953,55to64,150kplus,0
000074967,65plus,less75k,0
000077943,55to64,less75k,0
000077948,55to64,less75k,0
000077951,55to64,75to100k,0
000077955,55to64,100to150k,0
000077961,55to64,150kplus,0
000077970,65plus,less75k,0
000077974,65plus,150kplus,0
000077979,45to54,75to100k,0
000077984,45to54,150kplus,0
000077989,55to64,less75k,0
000077995,55to64,less75k,0
000077998,55to64,less75k,0
000078004,55to64,75to100k,0
000078007,55to64,100to150k,0
000078011,55to64,100to150k,0
000078012,55to64,100to150k,0
000078020,55to64,150kplus,0
000078021,55to64,150kplus,0
000078022,55to64,150kplus,0
000078024,55to64,150kplus,0
000078026,65plus,less75k,0
000078028,65plus,75to100k,0
000078030,65plus,100to150k,0
000078033,65plus,150kplus,0
000046059,45to54,less75k,0
000046064,55to64,less75k,0
000046071,55to64,100to150k,0
000046075,65plus,less75k,0
000046099,25to44,less75k,1
000046104,45to54,less75k,1
000046106,45to54,100to150k,1
000046107,55to64,less75k,1
000046108,55to64,less75k,1
000046123,55to64,less75k,1
000046126,55to64,75to100k,1
000046149,65plus,75to100k,1
000001833,25to44,less75k,0
000001848,45to54,75to100k,0
000001852,45to54,150kplus,0
000001881,25to44,less75k,0
000001885,25to44,less75k,0
000001888,25to44,less75k,0
000001907,25to44,150kplus,0
000001916,45to54,less75k,0
000001920,45to54,less75k,0
000001944,55to64,less75k,0
000001959,55to64,75to100k,0
000001982,65plus,less75k,0
000001983,65plus,less75k,0
000002000,65plus,75to100k,0
000002014,65plus,100to150k,0
000002027,25to44,100to150k,1
000002040,55to64,75to100k,1
000002047,65plus,less75k,1
000002055,65plus,150kplus,1
000002064,45to54,less75k,1
000059310,55to64,less75k,1
000043473,25to44,100to150k,0
000043646,55to64,100to150k,0
000043747,25to44,less75k,1
000043789,45to54,less75k,1
000043853,55to64,less75k,1
000043881,55to64,100to150k,1
000043996,65plus,less75k,1
000044023,45to54,150kplus,1
000011935,45to54,less75k,0
000012075,65plus,less75k,1
000029390,25to44,less75k,1
000029487,25to44,150kplus,1
000029492,45to54,less75k,1
000029514,55to64,less75k,1
000029587,55to64,75to100k,1
000029596,65plus,75to100k,1
000057994,45to54,100to150k,0
000058012,55to64,less75k,0
000058138,65plus,less75k,0
000057601,25to44,less75k,0
000057681,45to54,75to100k,0
000057701,45to54,150kplus,0
000057702,45to54,150kplus,0
000057734,55to64,less75k,0
000057803,65plus,75to100k,0
000057805,65plus,75to100k,0
000057915,45to54,less75k,0
000058151,65plus,less75k,0
000058267,45to54,150kplus,1
000058306,55to64,100to150k,1
000058457,55to64,150kplus,1
000058544,65plus,150kplus,1
000057753,55to64,100to150k,0
000057789,65plus,less75k,0
000057816,65plus,100to150k,0
000057835,25to44,less75k,0
000057865,25to44,less75k,0
000058198,25to44,less75k,1
000058253,45to54,75to100k,1
000058302,55to64,100to150k,1
000058350,65plus,150kplus,1
000058258,45to54,100to150k,1
000063775,25to44,less75k,0
000063777,25to44,less75k,0
000063779,25to44,less75k,0
000063781,25to44,less75k,0
000063783,25to44,75to100k,0
000063785,25to44,100to150k,0
000063788,25to44,150kplus,0
000063789,25to44,150kplus,0
000063790,45to54,less75k,0
000063791,45to54,75to100k,0
000063794,55to64,less75k,0
000063797,55to64,less75k,0
000063799,55to64,less75k,0
000063801,55to64,75to100k,0
000063802,55to64,75to100k,0
000063805,55to64,150kplus,0
000063807,55to64,150kplus,0
000063809,65plus,less75k,0
000063812,65plus,less75k,0
000063815,65plus,75to100k,0
000063818,65plus,150kplus,0
000063819,65plus,150kplus,0
000063821,25to44,less75k,0
000063823,25to44,less75k,0
000063826,25to44,less75k,0
000063830,25to44,less75k,0
000063834,25to44,less75k,0
000063835,25to44,less75k,0
000063839,25to44,less75k,0
000063840,25to44,less75k,0
000063846,25to44,less75k,0
000063847,25to44,less75k,0
000063849,25to44,less75k,0
000063850,25to44,less75k,0
000063854,25to44,less75k,0
000063855,25to44,less75k,0
000063856,25to44,less75k,0
000063859,25to44,75to100k,0
000063860,25to44,75to100k,0
000063862,25to44,75to100k,0
000063865,25to44,75to100k,0
000063866,25to44,75to100k,0
000063871,25to44,100to150k,0
000063879,25to44,150kplus,0
000063880,25to44,150kplus,0
000063882,25to44,150kplus,0
000063884,25to44,150kplus,0
000063885,25to44,150kplus,0
000063886,25to44,150kplus,0
000063889,25to44,150kplus,0
000063890,25to44,150kplus,0
000063891,25to44,150kplus,0
000063892,25to44,150kplus,0
000063901,45to54,75to100k,0
000063902,45to54,100to150k,0
000063907,55to64,less75k,0
000063908,55to64,less75k,0
000063909,55to64,less75k,0
000063910,55to64,less75k,0
000063911,55to64,less75k,0
000063912,55to64,less75k,0
000063913,55to64,less75k,0
000063917,55to64,less75k,0
000063918,55to64,less75k,0
000063922,55to64,less75k,0
000063924,55to64,less75k,0
000063925,55to64,less75k,0
000063927,55to64,less75k,0
000063929,55to64,less75k,0
000063932,55to64,less75k,0
000063936,55to64,less75k,0
000063938,55to64,less75k,0
000063940,55to64,75to100k,0
000063945,55to64,75to100k,0
000063949,55to64,75to100k,0
000063951,55to64,100to150k,0
000063952,55to64,100to150k,0
000063953,55to64,100to150k,0
000063954,55to64,100to150k,0
000063957,55to64,100to150k,0
000063959,55to64,100to150k,0
000063960,55to64,150kplus,0
000063968,55to64,150kplus,0
000063975,55to64,150kplus,0
000063979,55to64,150kplus,0
000063980,55to64,150kplus,0
000063982,65plus,less75k,0
000063983,65plus,less75k,0
000063994,65plus,less75k,0
000063996,65plus,less75k,0
000063997,65plus,less75k,0
000064002,65plus,less75k,0
000064003,65plus,less75k,0
000064006,65plus,less75k,0
000064008,65plus,less75k,0
000064010,65plus,75to100k,0
000064011,65plus,75to100k,0
000064012,65plus,75to100k,0
000064017,65plus,100to150k,0
000064018,65plus,100to150k,0
000064026,65plus,150kplus,0
000064029,65plus,150kplus,0
000064030,65plus,150kplus,0
000064032,65plus,150kplus,0
000064035,65plus,150kplus,0
000064036,65plus,150kplus,0
000064037,65plus,150kplus,0
000064042,25to44,less75k,1
000064045,25to44,less75k,1
000064048,25to44,less75k,1
000064049,25to44,less75k,1
000064052,25to44,75to100k,1
000064057,25to44,100to150k,1
000064058,25to44,100to150k,1
000064059,25to44,100to150k,1
000064060,25to44,150kplus,1
000064065,25to44,150kplus,1
000064066,25to44,150kplus,1
000064069,45to54,75to100k,1
000064071,45to54,150kplus,1
000064073,55to64,less75k,1
000064074,55to64,less75k,1
000064076,55to64,less75k,1
000064077,55to64,less75k,1
000064084,55to64,less75k,1
