CASE_ID,age,income,household_
000012299,25_below,75to100k,0
000012304,45to54,100to150k,0
000012305,55to64,less75k,0
000012321,25_below,less75k,0
000012325,25_below,75to100k,0
000012329,45to54,less75k,0
000012337,55to64,less75k,0
000012339,55to64,less75k,0
000012340,55to64,less75k,0
000012352,65plus,less75k,0
000012370,25_below,100to150k,1
000012383,65plus,less75k,1
000012386,65plus,less75k,1
000012309,55to64,75to100k,0
000007245,25to44,less75k,0
000067136,25to44,100to150k,0
000067139,25to44,150kplus,0
000067141,25to44,150kplus,0
000067161,55to64,less75k,0
000067177,65plus,75to100k,0
000067214,55to64,less75k,0
000067223,55to64,100to150k,0
000067267,25to44,150kplus,1
000030080,25to44,less75k,0
000030097,25to44,less75k,0
000030105,25to44,less75k,0
000030124,25to44,75to100k,0
000030137,25to44,100to150k,0
000030238,55to64,75to100k,0
000030256,55to64,150kplus,0
000030344,25to44,less75k,0
000030519,65plus,less75k,0
000030635,55to64,75to100k,1
000034617,55to64,less75k,0
000034751,45to54,less75k,0
000034786,55to64,100to150k,0
000034867,65plus,150kplus,0
000014919,55to64,less75k,0
000014922,55to64,75to100k,0
000014933,65plus,less75k,0
000014950,25to44,less75k,0
000014952,25to44,less75k,0
000014956,25to44,100to150k,0
000015010,45to54,150kplus,0
000015017,55to64,less75k,0
000015019,55to64,less75k,0
000015032,55to64,100to150k,0
000015066,65plus,100to150k,0
000015119,45to54,100to150k,1
000015135,55to64,less75k,1
000015150,65plus,less75k,1
000015180,25to44,100to150k,1
000015189,45to54,less75k,1
000015218,55to64,100to150k,1
000015238,65plus,100to150k,1
000035043,45to54,less75k,0
000032902,65plus,150kplus,0
000044078,45to54,less75k,0
000044198,65plus,150kplus,0
000044237,25to44,75to100k,0
000044314,45to54,100to150k,0
000044394,55to64,100to150k,0
000044515,65plus,100to150k,0
000044554,55to64,75to100k,1
000023233,45to54,75to100k,0
000001231,55to64,100to150k,0
000001596,55to64,150kplus,1
000001801,55to64,less75k,1
000034962,65plus,100to150k,0
000061909,25to44,less75k,0
000061914,25to44,less75k,0
000061916,25to44,less75k,0
000061937,25to44,150kplus,0
000061943,45to54,less75k,0
000061953,45to54,less75k,0
000061956,45to54,75to100k,0
000061964,45to54,100to150k,0
000061980,55to64,less75k,0
000061983,55to64,less75k,0
000061988,55to64,75to100k,0
000061991,55to64,75to100k,0
000062008,65plus,less75k,0
000062070,45to54,less75k,0
000062085,55to64,less75k,0
000062087,55to64,less75k,0
000062090,55to64,75to100k,0
000062117,65plus,150kplus,0
000062128,45to54,100to150k,1
000062132,55to64,75to100k,1
000062149,55to64,less75k,1
000049564,55to64,75to100k,0
000049569,55to64,75to100k,0
000049594,55to64,150kplus,0
000049608,65plus,less75k,0
000049625,25to44,less75k,0
000049631,25to44,75to100k,0
000049643,45to54,less75k,0
000049651,45to54,less75k,0
000049662,45to54,100to150k,0
000049665,45to54,100to150k,0
000049674,45to54,150kplus,0
000049696,55to64,less75k,0
000049748,55to64,100to150k,0
000049761,55to64,150kplus,0
000049765,55to64,150kplus,0
000049766,55to64,150kplus,0
000049785,65plus,less75k,0
000049791,65plus,less75k,0
000049794,65plus,less75k,0
000049803,65plus,100to150k,0
000049811,65plus,150kplus,0
